20230409042309960 99 2023 4 9 4 23 9.565 85.440309 28.216987 19.15 1.754 1.827 85.239547 28.238839 3.564 0.996 43.531 11.818 22.304 26.57 9.557 17.825 1.96 1.782 1.96 1.39 0.975 0.0406
20230409042615230 99 2023 4 9 4 26 14.755 85.226554 27.724324 10.6 1.581 1.65 85.219298 27.733198 9.395 1.073 7.516 15.384 25.745 21.817 9.787 17.649 1.84 1.662 1.84 1.01 0.522 0.0177
20230409042743870 99 2023 4 9 4 27 43.865 85.328346 27.773745 19.95 1.717 1.818 85.346399 27.771402 20.916 0.821 8.681 5.283 18.722 13.225 10.789 13.875 1.97 1.78 1.97 0.761 0.495 0.0313
20230409042922700 99 2023 4 9 4 29 22.605 85.771984 27.631326 -3.5 1.537 1.615 85.787395 27.635292 -1.866 0.094 0.42 0.227 21.702 27.0 9.799 17.906 1.765 1.581 1.765 1.06 0.806 0.0178
20230409042943650 99 2023 4 9 4 29 43.375 85.461945 28.425447 30.0 1.764 1.862 85.407134 28.433085 27.531 16.598 0.655 1.027 22.344 42.075 10.239 21.272 1.877 1.698 1.877 1.37 0.759 0.00909
20230409043002080 99 2023 4 9 4 30 2.11 85.680337 28.382633 27.95 1.775 1.832 85.6805 28.386521 27.444 1.049 48.223 7.816 22.637 27.671 9.861 18.348 1.772 1.624 1.772 1.23 0.608 -0.0742
20230409043120880 99 2023 4 9 4 31 20.84 85.945579 28.055124 -3.5 1.575 1.649 85.947111 28.058005 -1.524 6.454 0.867 0.916 21.275 29.586 10.02 18.476 1.725 1.587 1.725 1.06 0.601 -0.0233
20230409043131390 99 2023 4 9 4 31 31.325 85.714433 27.823598 -2.8 1.658 1.739 85.712177 27.830679 6.97 1.045 3.079 31.605 10.394 4.783 6.799 6.966 1.751 1.598 1.751 0.608 0.627 0.0418
20230409043157690 99 2023 4 9 4 31 57.91 85.741965 27.920128 -1.1 1.723 1.863 85.742245 27.928955 -0.987 0.947 2.215 2.749 20.712 23.183 9.612 16.65 1.747 1.574 1.747 0.648 0.754 0.009
20230409043225520 99 2023 4 9 4 32 25.15 86.001022 27.919616 -4.0 1.582 1.66 85.981323 27.952696 15.487 0.028 3.037 5.639 27.907 22.355 9.995 18.406 1.727 1.58 1.727 0.905 0.51 0.0318
20230409043315420 99 2023 4 9 4 33 15.83 85.566717 27.929672 -2.0 1.533 1.566 85.569405 27.932926 -1.571 0.649 1.9 1.504 23.377 25.956 10.022 18.253 1.753 1.611 1.753 -0.0314 0.558 -0.225
20230409043451910 99 2023 4 9 4 34 51.56 85.783104 28.217861 30.0 1.684 1.804 85.79667 28.229937 27.536 0.835 15.427 1.507 26.078 7.787 9.894 12.618 1.765 1.587 1.765 1.06 0.52 -0.0645
20230409043507200 99 2023 4 9 4 35 7.13 85.534763 27.845287 -1.45 1.575 1.659 85.538034 27.850154 -1.197 1.102 1.614 2.053 22.435 29.221 9.708 18.532 1.725 1.568 1.725 -0.195 0.414 0.274
20230409043618650 99 2023 4 9 4 36 19.02 85.33326 28.044922 5.4 1.669 1.725 85.2882 28.050957 -15.562 0.725 2.776 112.43 19.297 27.563 10.174 17.556 1.831 1.67 1.831 0.782 0.569 -0.136
20230409043639560 99 2023 4 9 4 36 40.01 85.628652 27.775815 -1.0 1.529 1.617 85.623025 27.776823 -0.472 0.772 3.204 4.377 20.015 10.388 10.381 12.923 1.79 1.621 1.79 0.475 0.585 0.153
20230409043652000 99 2023 4 9 4 36 52.425 86.001942 28.167767 30.0 1.505 1.632 85.981532 28.19974 27.984 0.028 0.031 0.196 34.958 33.846 9.057 22.047 1.739 1.564 1.739 1.29 0.602 -0.0164
20230409043658100 99 2023 4 9 4 36 58.41 85.711958 28.375844 -4.0 1.558 1.654 85.715326 28.372796 -1.535 7.267 0.926 0.803 20.737 14.894 9.757 14.444 1.751 1.582 1.751 1.18 0.585 -0.0954
20230409043716760 99 2023 4 9 4 37 16.815 85.946778 28.429592 30.0 1.517 1.61 85.954245 28.42727 27.859 0.079 0.296 0.22 23.716 33.298 9.662 19.687 1.813 1.648 1.813 1.35 0.617 -0.0457
20230409043759030 99 2023 4 9 4 37 58.885 85.285348 27.907208 0.35 1.67 1.802 85.280943 27.911715 0.942 0.92 11.488 3.788 21.111 16.558 9.683 15.014 1.763 1.593 1.763 0.741 0.605 -0.0695
20230409043837350 99 2023 4 9 4 38 37.37 85.570859 27.639101 29.85 1.71 1.767 85.551668 27.61362 28.05 15.964 1.222 0.028 23.019 31.044 9.961 19.237 1.82 1.664 1.82 1.07 0.61 0.0805
20230409043900130 99 2023 4 9 4 39 0.595 85.540759 28.01945 -2.25 1.567 1.698 85.54457 28.01619 -1.659 1.77 0.842 0.743 10.103 9.582 4.513 7.588 1.745 1.569 1.745 0.406 0.795 -0.691
20230409043930310 99 2023 4 9 4 39 30.05 85.711155 28.091157 -0.65 1.521 1.656 85.703634 28.091439 1.605 0.684 2.339 7.916 23.1 32.529 10.232 19.737 1.87 1.683 1.87 0.658 0.454 -0.182
20230409044005770 99 2023 4 9 4 40 5.54 85.270279 27.685182 -3.5 1.687 1.733 85.26336 27.685558 -0.227 0.971 4.859 16.336 8.577 15.593 9.62 10.877 1.765 1.619 1.765 0.905 0.442 0.0763
20230409044012400 99 2023 4 9 4 40 12.215 85.597706 27.890422 14.5 1.533 1.612 85.538853 27.865698 13.926 1.123 7.161 3.724 20.291 30.399 9.712 18.162 1.756 1.598 1.756 0.516 0.452 0.103
20230409044032860 99 2023 4 9 4 40 32.71 85.282221 28.454475 23.6 1.487 1.56 85.222156 28.470648 -6.855 0.64 1.255 87.71 24.395 36.702 10.125 20.851 1.794 1.645 1.794 1.45 0.705 -0.0876
20230409044042180 99 2023 4 9 4 40 42.15 85.198802 27.824864 8.5 1.623 1.613 85.218556 27.836821 15.443 0.028 2.406 8.376 26.147 20.256 9.791 17.309 1.743 1.624 1.743 1.03 0.658 0.00138
20230409044048520 99 2023 4 9 4 40 48.805 85.417253 27.69448 -4.0 1.772 1.808 85.416532 27.691275 -1.525 5.532 0.813 1.007 14.449 8.344 7.893 9.836 1.859 1.711 1.859 0.84 0.622 0.121
20230409044107150 99 2023 4 9 4 41 7.405 85.5129 27.890846 11.5 1.663 1.798 85.524682 27.900895 11.493 1.089 5.717 2.39 12.116 10.369 8.344 10.159 1.837 1.657 1.837 0.442 0.397 0.116
20230409044316710 99 2023 4 9 4 43 17.2 85.446776 27.606983 6.1 1.589 1.615 85.229357 28.153743 0.224 0.862 4.707 14.423 22.255 26.908 9.72 17.988 1.758 1.61 1.758 0.978 0.598 0.0895
20230409044327420 99 2023 4 9 4 43 27.25 85.599737 27.902154 23.95 1.726 1.824 85.605934 27.905291 23.418 1.106 6.388 3.192 14.46 9.202 8.93 10.592 1.781 1.615 1.781 0.899 0.61 0.0384
20230409044417800 99 2023 4 9 4 44 17.68 85.293747 27.990697 15.4 1.535 1.616 85.27165 27.981975 12.163 0.831 11.165 4.146 18.274 28.636 10.068 17.401 1.783 1.622 1.783 0.877 0.603 -0.0591
20230409044435430 99 2023 4 9 4 44 35.625 85.555565 27.871014 0.35 1.636 1.711 85.569001 27.880467 0.587 3.116 1.828 1.486 24.422 31.659 10.06 19.813 1.776 1.617 1.776 -0.0783 0.522 0.257
20230409044446590 99 2023 4 9 4 44 46.465 85.553813 28.407462 -4.0 1.531 1.645 85.622338 28.400671 -2.05 10.628 0.876 0.028 21.989 30.134 9.718 18.604 1.719 1.553 1.719 1.26 0.518 -0.0564
20230409044453260 99 2023 4 9 4 44 53.395 85.410352 27.872244 3.1 1.513 1.6 85.407138 27.86865 1.416 0.85 2.115 8.373 18.711 20.122 9.397 15.238 1.785 1.622 1.785 0.534 0.562 -0.0855
20230409044549330 99 2023 4 9 4 45 49.48 85.452282 28.028408 -3.5 1.552 1.695 85.345322 27.915201 28.05 0.028 1.361 3.675 23.703 32.315 10.176 19.827 1.873 1.675 1.873 0.592 0.575 -0.115
20230409044700650 99 2023 4 9 4 47 0.71 86.002664 28.361767 18.5 1.466 1.554 85.978023 28.357092 24.235 0.066 0.167 0.346 23.565 32.296 9.885 19.594 1.787 1.63 1.787 1.25 0.506 -0.00135
20230409044714950 99 2023 4 9 4 47 14.845 85.199269 27.698529 0.0 1.793 1.873 85.333426 27.679233 25.694 0.908 7.05 5.372 21.112 32.644 9.402 18.643 1.927 1.746 1.927 0.914 0.515 -0.0593
20230409044922110 99 2023 4 9 4 49 22.43 85.995564 27.815856 22.0 1.525 1.588 85.980652 27.804988 22.911 0.051 0.2 0.195 23.839 30.287 10.028 19.346 1.716 1.569 1.716 1.04 0.422 0.0607
20230409045021570 99 2023 4 9 4 50 21.335 85.716043 27.904812 23.8 1.594 1.703 85.725612 27.908499 22.827 1.023 9.796 3.987 16.166 13.468 9.387 12.691 1.785 1.606 1.785 0.909 0.629 0.0444
20230409045055990 99 2023 4 9 4 50 55.895 85.513924 27.880018 16.45 1.737 1.848 85.514562 27.883137 16.478 0.951 6.783 3.022 15.625 17.508 8.624 13.312 1.855 1.672 1.855 0.693 0.58 0.0505
20230409045212610 99 2023 4 9 4 52 12.445 85.511436 28.439022 17.1 1.916 1.99 85.476426 28.436982 17.094 0.712 18.582 6.425 23.803 15.653 10.145 15.577 1.828 1.657 1.828 1.41 0.686 -0.0563
20230409045238900 99 2023 4 9 4 52 39.035 85.58451 27.838985 -1.15 1.427 1.518 85.576484 27.831447 -0.95 1.063 3.05 3.461 20.649 23.33 10.141 16.968 1.731 1.563 1.731 -0.0605 0.438 0.446
20230409045247130 99 2023 4 9 4 52 46.885 86.002244 28.248977 -4.0 1.517 1.616 85.977453 28.263269 12.693 0.675 1.919 10.286 23.631 38.33 9.972 20.826 1.741 1.588 1.741 1.32 0.549 -0.0299
20230409045256240 99 2023 4 9 4 52 56.3 85.450988 27.85966 10.4 1.63 1.669 85.448285 27.857438 10.008 0.754 4.264 1.878 21.047 26.242 9.876 17.603 1.856 1.708 1.856 0.599 0.53 0.00425
20230409045627300 99 2023 4 9 4 56 27.205 85.534726 27.907101 -2.6 1.662 1.713 85.542635 27.90747 -1.562 1.64 0.725 0.885 19.5 28.855 10.128 17.862 1.832 1.664 1.832 0.186 0.794 -0.223
20230409045650190 99 2023 4 9 4 56 49.705 85.59212 27.888166 1.95 1.655 1.765 85.557266 27.888573 5.485 11.855 2.093 1.582 5.262 6.829 3.559 5.038 1.781 1.606 1.781 0.4 0.683 0.193
20230409045716830 99 2023 4 9 4 57 16.565 85.551443 28.004114 3.0 1.484 1.654 85.641848 27.992685 -1.552 2.086 1.128 0.659 23.25 33.719 10.06 19.905 1.709 1.524 1.709 0.52 0.844 -0.366
20230409045724240 99 2023 4 9 4 57 24.25 85.93813 28.112894 4.9 1.667 1.785 85.952539 28.085061 -1.544 4.528 0.898 0.785 19.769 29.203 10.165 18.038 1.808 1.62 1.808 1.12 0.62 -0.0152
20230409045753120 99 2023 4 9 4 57 52.92 85.435406 28.42632 18.6 1.477 1.568 85.768427 28.416008 10.489 0.7 5.105 8.879 23.172 36.469 10.023 20.384 1.766 1.6 1.766 1.18 0.638 -0.0902
20230409045823590 99 2023 4 9 4 58 23.15 85.893217 27.50027 4.0 1.502 1.62 85.915886 27.520708 -1.048 0.056 0.127 14.344 25.278 36.35 10.265 21.129 1.751 1.58 1.751 1.11 0.517 0.0749
20230409045841180 99 2023 4 9 4 58 41.13 85.915648 27.906754 8.05 1.657 1.722 85.926498 27.883297 -0.731 0.93 14.505 5.027 22.283 20.982 10.117 16.786 1.738 1.587 1.738 0.892 0.587 0.0467
20230409045855350 99 2023 4 9 4 58 55.365 85.651928 27.65263 0.85 1.6 1.673 85.660463 27.756981 42.679 0.718 8.808 24.136 19.239 30.381 8.917 17.338 1.72 1.571 1.72 0.789 0.672 0.13
20230409045914430 99 2023 4 9 4 59 13.97 85.32544 27.919927 -4.0 1.575 1.681 85.323777 27.933372 0.277 0.906 32.914 3.588 19.154 24.145 9.037 16.108 1.762 1.599 1.762 0.672 0.547 -0.107
20230409045936770 99 2023 4 9 4 59 36.48 85.442014 28.096074 30.0 1.496 1.561 85.715267 28.094839 28.046 0.339 0.149 0.028 24.712 25.0 10.158 18.445 1.719 1.569 1.719 0.939 0.63 -0.0894
20230409045942650 99 2023 4 9 4 59 42.74 85.919391 27.798007 29.5 1.564 1.643 85.232111 27.740078 27.822 0.053 0.17 0.221 22.895 26.225 10.017 18.186 1.714 1.557 1.714 1.08 0.557 0.0778
20230409050008700 99 2023 4 9 5 0 8.475 85.875873 28.243423 4.15 1.518 1.553 85.887408 28.236552 4.002 0.922 21.787 13.517 20.858 27.959 9.878 17.926 1.715 1.574 1.715 1.2 0.747 -0.0664
20230409050025100 99 2023 4 9 5 0 24.915 85.216728 28.497167 30.0 1.509 1.59 85.218044 28.48543 27.845 0.026 0.032 0.036 19.133 35.364 9.994 18.91 1.718 1.555 1.718 1.54 0.813 -0.0659
20230409050111270 99 2023 4 9 5 1 11.175 85.440403 28.152921 9.15 1.493 1.578 85.291337 27.873473 23.029 0.88 7.111 12.463 25.031 25.135 10.015 18.47 1.797 1.635 1.797 0.82 0.66 -0.189
20230409050145550 99 2023 4 9 5 1 45.49 85.197144 28.271534 30.0 1.561 1.598 85.219816 28.296693 27.669 0.047 0.121 0.131 23.099 35.367 10.094 20.203 1.799 1.65 1.799 1.33 0.707 -0.0733
20230409050200520 99 2023 4 9 5 2 0.55 86.001774 28.122649 13.0 1.46 1.554 85.977142 28.121931 18.898 0.513 1.774 8.848 22.572 34.125 9.948 19.715 1.794 1.626 1.794 1.19 0.684 -0.0161
20230409050212430 99 2023 4 9 5 2 12.375 85.868809 27.861283 30.0 1.604 1.699 85.888025 27.857451 27.535 0.641 1.492 6.183 29.752 14.453 10.299 16.422 1.806 1.625 1.806 1.13 0.718 0.0451
20230409050222020 99 2023 4 9 5 2 22.12 85.237856 27.832192 0.4 1.491 1.6 85.232204 27.842827 -1.526 5.626 0.828 0.765 22.7 17.973 10.382 16.18 1.755 1.583 1.755 0.878 0.714 -0.015
20230409050246010 99 2023 4 9 5 2 46.12 85.793103 28.112272 17.3 1.579 1.628 85.806783 28.09147 17.07 1.112 5.752 16.36 23.648 27.506 10.164 18.768 1.703 1.555 1.703 0.933 0.608 -0.0411
20230409050258020 99 2023 4 9 5 2 57.945 85.673872 27.880927 23.9 1.594 1.666 85.665855 27.879918 24.175 0.846 10.328 4.954 21.724 33.868 9.631 19.207 1.742 1.593 1.742 0.791 0.561 0.0695
20230409050317160 99 2023 4 9 5 3 17.03 85.513344 27.970256 -0.35 1.6 1.656 85.534774 27.975065 0.958 1.133 7.821 2.269 14.668 26.187 9.013 15.128 1.76 1.613 1.76 0.331 0.761 -0.434
