Station,SerialNum,Longitude,Latitude,UTM_E,UTM_N,Elev,JulDayN0,JulDayN1
C62,453014352,85.5441616,28.0020289,356852.298,3098281.091,2206.72,99.3597106,126.4532986
C63,453013543,85.543577,28.0026227,356795.602,3098347.568,2195.27,99.3729977,126.3804745
C64,453005511,85.5427848,28.0030167,356718.214,3098392.156,2167.77,99.3820486,128.4873032
C65,453013232,85.5426938,28.0016213,356707.418,3098237.659,2157.11,99.3942245,127.0999653
C67,453012028,85.5420965,28.0006626,356647.415,3098132.139,2136.15,99.1508912,127.0278125
C68,453014206,85.5419978,28.0015011,356638.819,3098225.153,2126.68,99.1693634,126.8146181
C69,453005666,85.5417508,28.0021091,356615.334,3098292.811,2117.6,99.1877431,126.9604977
C70,453013627,85.5414963,28.0027724,356591.18,3098366.603,2110.36,99.2001736,126.4420949
C71,453013563,85.5401933,28.0032796,356463.722,3098424.331,2035.98,99.2258681,125.9405671
C72,453012926,85.5391915,28.0044958,356366.821,3098560.257,2001.27,99.2409375,126.5664931
C73,453014263,85.5387266,28.0052433,356322.095,3098643.624,1994.83,99.2526736,126.7126505
C74,453005668,85.5385532,28.0058814,356305.887,3098714.527,1990.07,99.2741551,129.2774884
C75,453011712,85.5382909,28.0064602,356280.863,3098778.962,1985.15,99.3360069,126.7945949
C76,453012338,85.5383705,28.007134,356289.593,3098853.527,1982.79,99.3460764,126.5896644
C77,453005591,85.537301,28.0081505,356185.768,3098967.404,1963.53,99.4597569,129.0655671
C78,453005518,85.5352554,28.0082878,355984.801,3098985.035,1926,99.3684375,128.0278588
C79,453012941,85.5344958,28.0092514,355911.391,3099092.7,1937.13,99.4406597,126.8928588
C80,453012930,85.5356437,28.0096215,356024.764,3099132.346,1919.05,99.4093403,126.8018171
C81,453013434,85.5358614,28.0103205,356047.097,3099209.538,1911.94,99.4219097,126.5877199
C90,453012771,85.5518646,27.9972969,357603.58,3097747.792,2561.39,100.0530208,127.3746875
C99,453012491,85.5659853,27.9983802,358993.658,3097851.424,3140.69,100.402419,128.0012847
