Station,SerialNum,Longitude,Latitude,UTM_E,UTM_N,Elev,JulDayN0,JulDayN1
A046,453014297,85.5695264,27.8814803,359190.348,3084895.563,1810.86,101.2954745,127.8396412
A047,453012096,85.5680381,27.8824902,359045.137,3085009.172,1830.92,101.2810764,128.0743866
A048,453011865,85.5674755,27.8832505,358990.736,3085094.048,1856.99,101.268044,127.3730208
A049,453012031,85.5675662,27.884261,359000.978,3085205.904,1893.7,101.253669,128.9480903
A050,453005498,85.5682366,27.8850844,359068.04,3085296.362,1918.68,101.2405903,130.2716782
A051,453011801,85.5696076,27.8858361,359203.985,3085378.065,1958.92,101.231169,129.2814236
A052,453011850,85.5708843,27.8866711,359330.745,3085469.112,1969.05,101.2207986,128.9796644
A053,453005548,85.5713813,27.8876969,359380.996,3085582.186,1971.77,101.2102199,130.2518634
A054,453014189,85.5715893,27.8885397,359402.563,3085675.322,1975.9,101.1967708,128.6011921
A056,453013699,85.5741276,27.8899816,359654.29,3085832.173,1963.28,98.3597106,125.7252431
A057,453005741,85.5739431,27.8907652,359637.143,3085919.198,1953.81,98.3583912,126.8842014
A058,453012171,85.5740922,27.8918025,359653.152,3086033.948,1950.03,101.4523958,129.098206
A059,453012779,85.5756096,27.8930428,359804.127,3086169.626,1959.51,98.3930208,126.0532755
A060,453012581,85.5762182,27.8942583,359865.597,3086303.604,1995.14,98.3976273,125.7023264
A061,453005559,85.5763682,27.8949186,359881.213,3086376.586,2009.32,101.4001042,130.1861921
A062,453014296,85.5766393,27.8958825,359909.143,3086483.065,2021.25,101.387419,127.6996181
A063,453013084,85.5777216,27.8968083,360016.866,3086584.4,2023.43,101.371169,128.9614236
A064,453011798,85.578657,27.8975798,360109.938,3086668.807,2040.24,101.3489236,128.5533449
A065,453013308,85.5790877,27.8984695,360153.476,3086766.893,2059.39,101.3344329,128.7519097
A066,453013535,85.5791572,27.8993361,360161.426,3086862.826,2077.49,101.3158681,128.971956
A067,453012199,85.5792655,27.900113,360173.086,3086948.779,2088.87,101.3034838,129.1798727
