27.832904	85.5726643	4W	2D01	DPE	0.82365
27.8398116	85.5272561	4W	2D03	DPE	1.69851
27.8747526	85.5158578	4W	2D04	DPE	1.80687
27.9006393	85.540277	4W	2D05	DPE	1.11097
27.9565622	85.5459561	4W	2D06	DPE	1.39779
27.9317589	85.5432866	4W	2D07	DPE	1.80228
27.9501591	85.5083482	4W	2D08	DPE	2.51064
27.9688629	85.5544999	4W	2D09	DPE	2.3545
27.7973138	85.5473276	4W	2D10	DPE	0.94908
27.7760252	85.5610127	4W	2D11	DPE	0.92684
27.8064069	85.5146063	4W	2D12	DPE	1.08426
27.8164667	85.4566594	4W	2D13	DPE	2.14077
27.9048463	85.4791609	4W	2D14	DPE	2.1721
27.8245429	85.4877085	4W	2D15	DPE	1.29471
27.8563479	85.5920743	4W	2D16	DPE	0.96484
27.8246293	85.6079476	4W	2D17	DPE	1.57979
27.8963788	85.6211176	4W	2D18	DPE	1.07624
27.9428641	85.6582466	4W	2D19	DPE	2.09005
27.8765582	85.6725302	4W	2D20	DPE	2.27142
27.7878418	85.617848	4W	2D21	DPE	1.6015
27.986411	85.6618586	4W	2D22	DPE	2.00164
27.8406027	85.5719711	4W	A000	DPE	1.13959
27.84095	85.5720898	4W	A001	DPE	1.15631
27.8416417	85.5719573	4W	A002	DPE	1.18979
27.8424454	85.5720842	4W	A003	DPE	1.21728
27.8434845	85.572705	4W	A004	DPE	1.24393
27.8442863	85.5725972	4W	A005	DPE	1.27299
27.8446548	85.5724232	4W	A006	DPE	1.28302
27.8461448	85.5715817	4W	A007	DPE	1.34074
27.8471611	85.5708919	4W	A008	DPE	1.34933
27.8479667	85.5703512	4W	A009	DPE	1.36427
27.8486281	85.5695472	4W	A010	DPE	1.36817
27.849813	85.5687741	4W	A011	DPE	1.39636
27.8508058	85.5683804	4W	A012	DPE	1.4088
27.8514601	85.5681385	4W	A013	DPE	1.41701
27.8524474	85.567301	4W	A014	DPE	1.4436
27.8532339	85.5671299	4W	A015	DPE	1.47155
27.8539742	85.5665409	4W	A016	DPE	1.48095
27.8546795	85.5670015	4W	A017	DPE	1.47989
27.8561752	85.5667567	4W	A018	DPE	1.47726
27.8569438	85.5664599	4W	A019	DPE	1.48582
27.8580607	85.5669066	4W	A020	DPE	1.50075
27.8588691	85.5662333	4W	A021	DPE	1.50025
27.860258	85.5667624	4W	A022	DPE	1.52988
27.8609792	85.5665509	4W	A023	DPE	1.53292
27.8614609	85.5671219	4W	A024	DPE	1.53966
27.8622402	85.5674673	4W	A025	DPE	1.5567
27.8631588	85.5675095	4W	A026	DPE	1.55821
27.8639709	85.5682832	4W	A027	DPE	1.55621
27.8647995	85.5675109	4W	A028	DPE	1.55208
27.8660089	85.5680854	4W	A029	DPE	1.56076
27.8670576	85.5686665	4W	A030	DPE	1.56416
27.8677146	85.5687457	4W	A031	DPE	1.55856
27.8686965	85.5687792	4W	A032	DPE	1.55809
27.8697407	85.5689097	4W	A033	DPE	1.56944
27.8703689	85.5697232	4W	A034	DPE	1.57152
27.8716868	85.5704218	4W	A035	DPE	1.56719
27.8727482	85.5702916	4W	A036	DPE	1.57922
27.8730851	85.5703845	4W	A037	DPE	1.58697
27.8742176	85.5702852	4W	A038	DPE	1.60774
27.8752143	85.5700938	4W	A039	DPE	1.63788
27.8759618	85.5697474	4W	A040	DPE	1.65164
27.8768968	85.569007	4W	A041	DPE	1.67328
27.8778339	85.5693037	4W	A042	DPE	1.6922
27.8788203	85.5698904	4W	A043	DPE	1.73138
27.8795804	85.5692994	4W	A044	DPE	1.75557
27.8804444	85.5693141	4W	A045	DPE	1.78231
27.8814803	85.5695264	4W	A046	DPE	1.81086
27.8824902	85.5680381	4W	A047	DPE	1.83092
27.8832505	85.5674755	4W	A048	DPE	1.85699
27.884261	85.5675662	4W	A049	DPE	1.8937
27.8850844	85.5682366	4W	A050	DPE	1.91868
27.8858361	85.5696076	4W	A051	DPE	1.95892
27.8866711	85.5708843	4W	A052	DPE	1.96905
27.8876969	85.5713813	4W	A053	DPE	1.97177
27.8885397	85.5715893	4W	A054	DPE	1.9759
27.8899816	85.5741276	4W	A056	DPE	1.96328
27.8907652	85.5739431	4W	A057	DPE	1.95381
27.8918025	85.5740922	4W	A058	DPE	1.95003
27.8930428	85.5756096	4W	A059	DPE	1.95951
27.8942583	85.5762182	4W	A060	DPE	1.99514
27.8949186	85.5763682	4W	A061	DPE	2.00932
27.8958825	85.5766393	4W	A062	DPE	2.02125
27.8968083	85.5777216	4W	A063	DPE	2.02343
27.8975798	85.578657	4W	A064	DPE	2.04024
27.8984695	85.5790877	4W	A065	DPE	2.05939
27.8993361	85.5791572	4W	A066	DPE	2.07749
27.900113	85.5792655	4W	A067	DPE	2.08887
27.901085	85.5801788	4W	A068	DPE	2.1101
27.9018787	85.5808268	4W	A069	DPE	2.12025
27.9030832	85.5818922	4W	A070	DPE	2.15502
27.9039536	85.5826447	4W	A071	DPE	2.19576
27.9050146	85.5840462	4W	A072	DPE	2.25042
27.9056688	85.5842876	4W	A073	DPE	2.27768
27.9064766	85.5838596	4W	A074	DPE	2.30704
27.9076963	85.5832582	4W	A075	DPE	2.34444
27.9085494	85.5828904	4W	A076	DPE	2.36424
27.9092549	85.5837906	4W	A077	DPE	2.38442
27.9101729	85.5843215	4W	A078	DPE	2.39519
27.9110515	85.5847892	4W	A079	DPE	2.41982
27.9118959	85.5851687	4W	A080	DPE	2.43807
27.9130872	85.5858236	4W	A081	DPE	2.44656
27.9138957	85.5868968	4W	A082	DPE	2.45089
27.9147305	85.587418	4W	A083	DPE	2.46048
27.9157543	85.5880752	4W	A084	DPE	2.46041
27.9165985	85.5887124	4W	A085	DPE	2.46003
27.9175456	85.5892517	4W	A086	DPE	2.46436
27.9181481	85.5903595	4W	A087	DPE	2.48522
27.9188747	85.5908994	4W	A088	DPE	2.45823
27.9201567	85.592504	4W	A089	DPE	2.49227
27.9210018	85.5924535	4W	A090	DPE	2.46437
27.9221649	85.593027	4W	A091	DPE	2.4707
27.923121	85.5938635	4W	A092	DPE	2.48207
27.9239457	85.5955069	4W	A093	DPE	2.54148
27.9247973	85.5966128	4W	A094	DPE	2.57133
27.925748	85.5978754	4W	A095	DPE	2.60226
27.9264006	85.5980957	4W	A096	DPE	2.60857
27.9274187	85.5985215	4W	A097	DPE	2.62024
27.92819	85.5985768	4W	A098	DPE	2.6167
27.9291203	85.5986813	4W	A099	DPE	2.61012
27.9299861	85.5987923	4W	A100	DPE	2.59969
27.9308976	85.5987607	4W	A101	DPE	2.61059
27.9318249	85.5986281	4W	A102	DPE	2.61743
27.9329439	85.5990654	4W	A103	DPE	2.63697
27.9337515	85.5989283	4W	A104	DPE	2.63238
27.9346442	85.5992474	4W	A105	DPE	2.63587
27.9356213	85.5995774	4W	A106	DPE	2.65099
27.9365563	85.5992109	4W	A107	DPE	2.65299
27.9375047	85.5988365	4W	A108	DPE	2.64088
27.9383334	85.5981856	4W	A109	DPE	2.60635
27.9392873	85.597605	4W	A110	DPE	2.60656
27.9398493	85.5972699	4W	A111	DPE	2.60319
27.9410614	85.5966977	4W	A112	DPE	2.64083
27.9419437	85.5963193	4W	A113	DPE	2.6324
27.9425947	85.595637	4W	A114	DPE	2.59948
27.9436103	85.5968354	4W	A115	DPE	2.5958
27.9591939	85.5903025	4W	A132	DPE	2.85079
27.9599662	85.5892437	4W	A133	DPE	2.90341
27.9608906	85.588821	4W	A134	DPE	2.91322
27.9617791	85.5884297	4W	A135	DPE	2.9221
27.9625077	85.588063	4W	A136	DPE	2.91254
27.9635491	85.5880486	4W	A137	DPE	2.92991
27.9644038	85.5880121	4W	A138	DPE	2.93402
27.9653644	85.5878036	4W	A139	DPE	2.94605
27.9660747	85.5876087	4W	A140	DPE	2.96435
27.9672376	85.5872772	4W	A141	DPE	2.98462
27.9679717	85.5868326	4W	A142	DPE	2.97505
27.9689006	85.5868022	4W	A143	DPE	2.99525
27.969866	85.5865222	4W	A144	DPE	3.02445
27.9709555	85.5864428	4W	A145	DPE	3.07789
27.9716868	85.5861275	4W	A146	DPE	3.09816
27.9727094	85.5856245	4W	A147	DPE	3.12457
27.973533	85.584847	4W	A148	DPE	3.13493
27.9744963	85.5832788	4W	A149	DPE	3.18428
27.9752502	85.5823727	4W	A150	DPE	3.14912
27.9762152	85.5826375	4W	A151	DPE	3.13787
27.9770412	85.5823828	4W	A152	DPE	3.13525
27.9779899	85.5825899	4W	A153	DPE	3.13671
27.978909	85.5824351	4W	A154	DPE	3.1448
27.9798179	85.5823734	4W	A155	DPE	3.15717
27.9807237	85.5822686	4W	A156	DPE	3.16693
27.9814682	85.582101	4W	A157	DPE	3.16448
27.9825142	85.581879	4W	A158	DPE	3.18122
27.9833937	85.5811812	4W	A159	DPE	3.19549
27.9845122	85.5810141	4W	A160	DPE	3.2033
27.9852269	85.5804673	4W	A161	DPE	3.19421
27.9861827	85.5799534	4W	A162	DPE	3.21587
27.9871598	85.5791603	4W	A163	DPE	3.22196
27.9880439	85.5784171	4W	A164	DPE	3.23622
27.988997	85.5772756	4W	A165	DPE	3.26326
27.9898	85.5758451	4W	A166	DPE	3.2723
27.990679	85.5743677	4W	A167	DPE	3.26799
27.9915309	85.5736132	4W	A168	DPE	3.25802
27.9924492	85.5724964	4W	A169	DPE	3.25379
27.9934381	85.5706309	4W	A170	DPE	3.29626
27.9942524	85.5689219	4W	A171	DPE	3.30172
27.9951559	85.5679623	4W	A172	DPE	3.26804
27.9961439	85.5679679	4W	A173	DPE	3.25223
27.996886	85.567799	4W	A174	DPE	3.232
27.9977716	85.5675402	4W	A175	DPE	3.21569
27.9985798	85.567509	4W	A176	DPE	3.20733
27.9993693	85.5671395	4W	A177	DPE	3.20887
28.0008262	85.5666251	4W	A178	DPE	3.17317
28.0014729	85.5670772	4W	A179	DPE	3.19667
28.0023924	85.566654	4W	A180	DPE	3.21378
28.0033128	85.5666192	4W	A181	DPE	3.23775
27.9926251	85.5709786	4W	AX1	DPE	3.23883
27.9926428	85.5701041	4W	AX2	DPE	3.22431
27.9922864	85.5691101	4W	AX3	DPE	3.18598
27.9919747	85.5678601	4W	AX4	DPE	3.1551
27.9403043	85.5974873	4W	AX5	DPE	2.60416
27.9408112	85.5980013	4W	AX6	DPE	2.60107
27.8658216	85.566834	4W	B01	DPE	1.54127
27.86583	85.5662225	4W	B02	DPE	1.53528
27.8659042	85.5656776	4W	B03	DPE	1.53119
27.8658717	85.5652455	4W	B04	DPE	1.52707
27.8662942	85.5650147	4W	B05	DPE	1.50785
27.8666126	85.5641366	4W	B06	DPE	1.50416
27.8664709	85.563719	4W	B07	DPE	1.49176
27.8667884	85.5632043	4W	B08	DPE	1.47874
