# 2023 05 02 00 00  2.958 85.5832  27.8395  13.457  6.56 0 0 0      1
 2D03   2.502 1 P
 2D03   4.562 1 S
 2D03   2.502 1 P
 2D03   4.562 1 S
 2D03   2.502 1 P
 2D03   4.562 1 S
 A044   2.142 1 P
 A044   2.142 1 P
 A044   2.142 1 P
 A014   4.142 1 S
 A014   2.222 1 P
 A014   2.222 1 P
 A014   2.222 1 P
 A014   4.142 1 S
 A014   4.142 1 S
 A009   4.192 1 S
 A009   2.302 1 P
 A009   4.192 1 S
 A009   2.302 1 P
 A009   2.302 1 P
 A009   4.192 1 S
 A059   2.122 1 P
 A059   2.122 1 P
 A059   2.122 1 P
 A000   2.372 1 P
 A000   4.162 1 S
 A000   2.372 1 P
 A000   4.162 1 S
 A000   2.372 1 P
 A000   4.162 1 S
 A064   2.152 1 P
 A064   2.152 1 P
 A064   2.152 1 P
 A069   2.132 1 P
 A069   2.132 1 P
 A069   2.132 1 P
 2D16   2.182 1 P
 2D16   3.962 1 S
 2D16   2.182 1 P
 2D16   3.962 1 S
 2D16   2.182 1 P
 2D16   3.962 1 S
 A079   2.122 1 P
 A079   2.122 1 P
 A079   2.122 1 P
 2D17   5.102 1 S
 2D17   5.102 1 S
 2D17   5.102 1 S
 2D17   2.672 1 P
 2D17   2.672 1 P
 2D17   2.672 1 P
 A084   2.102 1 P
 A084   2.102 1 P
 A084   3.872 1 S
 A084   3.872 1 S
 A084   2.102 1 P
 A084   3.872 1 S
 2D18   3.712 1 S
 2D18   2.082 1 P
 2D18   2.082 1 P
 2D18   2.082 1 P
 2D18   3.712 1 S
 2D18   3.712 1 S
 A089   2.112 1 P
 A089   2.112 1 P
 A089   3.912 1 S
 A089   3.912 1 S
 A089   2.112 1 P
 A089   3.912 1 S
 2D20   2.732 1 P
 2D20   2.732 1 P
 2D20   4.802 1 S
 2D20   4.802 1 S
 2D20   4.802 1 S
 2D20   2.732 1 P
 A094   2.142 1 P
 A094   2.142 1 P
 A094   3.962 1 S
 A094   3.962 1 S
 A094   2.142 1 P
 A094   3.962 1 S
 A100   3.982 1 S
 A100   3.982 1 S
 A100   2.152 1 P
 A100   2.152 1 P
 A100   2.152 1 P
 A100   3.982 1 S
 2D19   4.372 1 S
 2D19   2.492 1 P
 2D19   4.372 1 S
 2D19   2.492 1 P
 2D19   2.492 1 P
 2D19   4.372 1 S
 A109   3.992 1 S
 A109   3.992 1 S
 A109   2.142 1 P
 A109   2.142 1 P
 A109   2.142 1 P
 A109   3.992 1 S
  AX6   2.142 1 P
  AX6   2.142 1 P
  AX6   3.932 1 S
  AX6   3.932 1 S
  AX6   2.142 1 P
  AX6   3.932 1 S
 2D22   4.622 1 S
 2D22   4.622 1 S
 2D22   4.622 1 S
 2D22   2.672 1 P
 2D22   2.672 1 P
 2D22   2.672 1 P
 A132   4.202 1 S
 A132   4.202 1 S
 A132   2.252 1 P
 A132   4.202 1 S
 A132   2.252 1 P
 A132   2.252 1 P
 A134   2.292 1 P
 A134   2.292 1 P
 A134   2.292 1 P
 A134   4.292 1 S
 A134   4.292 1 S
 A134   4.292 1 S
 A139   4.282 1 S
 A139   4.282 1 S
 A139   2.302 1 P
 A139   4.282 1 S
 A139   2.302 1 P
 A139   2.302 1 P
 A144   2.352 1 P
 A144   2.352 1 P
 A144   2.352 1 P
 A144   4.322 1 S
 A144   4.322 1 S
 A144   4.322 1 S
 A149   4.322 1 S
 A149   4.322 1 S
 A149   2.162 1 P
 A149   4.322 1 S
 A149   2.162 1 P
 A149   2.162 1 P
 A154   2.382 1 P
 A154   2.382 1 P
 A154   2.382 1 P
 A154   4.262 1 S
 A154   4.262 1 S
 A154   4.262 1 S
 A159   4.322 1 S
 A159   4.322 1 S
 A159   2.432 1 P
 A159   4.322 1 S
 A159   2.432 1 P
 A159   2.432 1 P
 A164   2.462 1 P
 A164   2.462 1 P
 A164   2.462 1 P
 A164   4.402 1 S
 A164   4.402 1 S
 A164   4.402 1 S
 A169   4.442 1 S
 A169   4.442 1 S
 A169   2.492 1 P
 A169   4.442 1 S
 A169   2.492 1 P
 A169   2.492 1 P
 A179   2.572 1 P
 A179   2.572 1 P
 A179   2.572 1 P
 A179   4.542 1 S
 A179   4.542 1 S
 A179   4.542 1 S
 A181   4.592 1 S
 A181   4.592 1 S
 A181   2.582 1 P
 A181   4.592 1 S
 A181   2.582 1 P
 A181   2.582 1 P
  AX4   2.462 1 P
  AX4   2.462 1 P
  AX4   2.462 1 P
  AX4   4.372 1 S
  AX4   4.372 1 S
  AX4   4.372 1 S
  C10   4.362 1 S
  C10   4.362 1 S
  C10   4.362 1 S
  C15   2.432 1 P
  C15   4.332 1 S
  C15   2.432 1 P
  C15   4.332 1 S
  C15   2.432 1 P
  C15   4.332 1 S
  C21   4.352 1 S
  C21   4.352 1 S
  C21   4.352 1 S
  C25   2.432 1 P
  C25   2.432 1 P
  C25   4.332 1 S
  C25   4.332 1 S
  C25   2.432 1 P
  C25   4.332 1 S
  C56   4.272 1 S
  C56   4.272 1 S
  C56   2.392 1 P
  C56   2.392 1 P
  C56   2.392 1 P
  C56   4.272 1 S
  C62   4.232 1 S
  C62   4.232 1 S
  C62   4.232 1 S
 2D09   2.142 1 P
 2D09   3.912 1 S
 2D09   2.142 1 P
 2D09   3.912 1 S
 2D09   2.142 1 P
 2D09   3.912 1 S
 2D06   1.872 1 P
 2D06   3.462 1 S
 2D06   1.872 1 P
 2D06   3.462 1 S
 2D06   1.872 1 P
 2D06   3.462 1 S
 2D08   2.272 1 P
 2D08   4.212 1 S
 2D08   2.272 1 P
 2D08   4.212 1 S
 2D08   2.272 1 P
 2D08   4.212 1 S
 2D07   1.942 1 P
 2D07   3.672 1 S
 2D07   1.942 1 P
 2D07   3.672 1 S
 2D07   1.942 1 P
 2D07   3.672 1 S
# 2023 05 02 01 19 42.486 85.4940  27.9525  12.500  6.01 0 0 0      2
 2D14   1.684 1 P
 2D14   3.344 1 S
 2D14   1.684 1 P
 2D14   3.344 1 S
 2D14   1.684 1 P
 2D14   3.344 1 S
 2D03   4.534 1 S
 2D03   4.534 1 S
 2D03   4.534 1 S
 A100   5.184 1 S
 A100   5.184 1 S
 A100   2.664 1 P
 A100   2.664 1 P
 A100   2.664 1 P
 A100   5.184 1 S
 A109   5.254 1 S
 A109   5.254 1 S
 A109   5.254 1 S
 2D09   4.274 1 S
 2D09   2.164 1 P
 2D09   4.274 1 S
 2D09   2.164 1 P
 2D09   4.274 1 S
 2D09   2.164 1 P
 A134   2.694 1 P
 A134   5.254 1 S
 A134   2.694 1 P
 A134   5.254 1 S
 A134   2.694 1 P
