# 2023  04  10   00    36    6.095     85.7728     28.1137     4.05     0.569     0.0     0.0    0.0    208
# 2023  04  10   04    15   54.270     85.5448     27.9874     4.05     0.125     0.0     0.0    0.0    217
2D06 0.7159 0.9721 P
2D06 1.9232 0.8980 S
A024 2.9300 0.8810 P
A029 2.2421 0.8750 P
A169 2.4131 0.9193 S
C10  1.8728 0.9466 S
# 2023  04  10   05    03   14.975     85.5642     27.8182     2.25     0.131     0.0     0.0    0.0    218
2D05 1.5697 0.9091 P
2D08 3.1799 0.9062 P
2D18 2.9170 0.8960 S
A000 0.6257 0.9176 P
A014 0.6449 0.9337 P
A019 1.9203 0.8870 S
A169 4.0042 0.9285 P
C25  3.5636 0.9344 P
C69  3.4922 0.9045 P
# 2023  04  10   05    15   35.525     85.5489     27.9211    11.65     0.490     0.0     0.0    0.0    219
2D04 2.5200 0.9234 P
2D06 3.8542 0.9031 S
2D07 2.2429 0.9246 P
2D07 4.0148 0.8780 S
2D08 2.5654 0.9044 P
2D08 4.4406 0.9108 S
2D09 2.6433 0.9009 P
2D09 4.3750 0.9136 S
2D14 5.3338 0.9531 S
2D18 2.5606 0.9251 P
2D18 4.3000 0.9075 S
A000 2.6792 0.9132 P
A014 2.5818 0.9003 P
A019 2.6855 0.8970 P
A039 2.5839 0.8680 P
A139 4.4589 0.9201 S
A159 2.9927 0.8960 P
A159 5.1404 0.9328 S
A164 2.9598 0.9461 P
A164 5.2382 0.8700 S
C05  5.1055 0.9001 S
C10  2.9034 0.8960 P
C10  4.9866 0.8090 S
C15  4.8477 0.8970 S
C21  4.9743 0.8500 S
C56  2.8688 0.9191 P
C56  4.7595 0.8840 S
C62  2.8520 0.9235 P
C62  4.7339 0.8970 S
C69  4.6195 0.9692 S
C72  3.1902 0.8940 P
C72  4.5635 0.9155 S
# 2023  04  10   11    32   18.215     85.5682     27.9116    13.10     2.460     0.0     0.0    0.0    220
2D04 2.9643 0.9380 P
2D04 4.8777 0.9111 S
2D05 2.5995 0.9526 P
2D06 2.7043 0.9462 P
2D06 4.4872 0.9197 S
2D07 2.6955 0.9450 P
2D08 3.1055 0.9493 P
2D08 5.3101 0.8850 S
2D09 2.9818 0.9476 P
2D14 3.2752 0.9306 P
2D14 5.3531 0.9302 S
2D16 2.7511 0.9442 P
2D16 4.4299 0.9218 S
2D18 2.7355 0.9493 P
2D18 4.4516 0.9005 S
2D19 3.2064 0.9439 P
2D19 5.2021 0.9382 S
2D20 3.3422 0.9413 P
2D20 5.5062 0.7700 S
2D22 3.4593 0.9439 P
2D22 5.6045 0.9104 S
A000 2.9631 0.9571 P
A000 4.7824 0.9174 S
A004 2.9228 0.9473 P
A004 4.6475 0.8730 S
A009 2.9185 0.9481 P
A009 4.7191 0.9064 S
A014 2.8532 0.9455 P
A014 4.5700 0.8360 S
A019 2.8620 0.9417 P
A019 4.5784 0.9136 S
A024 2.8193 0.9414 P
A024 4.5150 0.9154 S
A029 2.7993 0.9336 P
A029 4.5468 0.8620 S
A034 2.7852 0.9414 P
A034 4.4672 0.9094 S
A039 2.7647 0.9290 P
A039 4.4661 0.9059 S
A044 2.8023 0.9482 P
A044 4.6224 0.9095 S
A059 2.8340 0.9345 P
A132 3.0465 0.9494 P
A134 3.1071 0.9484 P
A139 3.1196 0.9471 P
A144 3.1823 0.9503 P
A149 3.2356 0.9413 P
A154 3.2265 0.9452 P
A159 3.2934 0.9508 P
A164 3.3379 0.9499 P
A169 3.3775 0.9544 P
A174 3.3835 0.9447 P
A174 5.6506 0.9448 S
A179 3.4453 0.9427 P
A181 3.4581 0.9475 P
A181 6.0251 0.8570 S
AX4  3.3319 0.9481 P
C05  3.4177 0.9589 P
C10  3.3302 0.9423 P
C15  3.3254 0.9449 P
C15  5.5335 0.8780 S
C21  3.3157 0.9450 P
C25  3.3146 0.9401 P
C25  5.5914 0.8850 S
C90  3.3454 0.9340 P
C56  3.2976 0.9478 P
C56  5.5188 0.8730 S
C62  3.2843 0.9415 P
C62  5.4218 0.8970 S
C69  3.2591 0.9441 P
C69  5.3366 0.8820 S
C72  3.2562 0.9486 P
C72  5.2678 0.9102 S
C77  3.3035 0.9420 P
C77  5.4164 0.8770 S
# 2023  04  10   12    18   11.790     85.5292     27.8859    14.90     0.313     0.0     0.0    0.0    221
2D05 4.6975 0.9544 S
2D06 3.1994 0.9145 P
2D08 3.4490 0.9116 P
2D09 3.5197 0.9302 P
2D14 5.4685 0.9779 S
2D16 5.0965 0.8920 S
2D18 3.4259 0.9091 P
2D18 5.1618 0.8880 S
2D19 3.9865 0.8860 P
2D19 6.1478 0.8950 S
2D20 6.3931 0.8640 S
2D22 4.2623 0.9169 P
2D22 6.5675 0.9059 S
A004 5.1635 0.8250 S
A014 3.1271 0.9166 P
A132 3.6719 0.9254 P
A134 3.7498 0.9141 P
A139 3.7596 0.9286 P
A144 3.8062 0.9273 P
A149 3.8831 0.8780 P
A154 3.8401 0.9214 P
A159 3.9098 0.9416 P
A164 3.9513 0.9245 P
A169 3.9813 0.9393 P
A174 3.9772 0.9160 P
A181 4.0617 0.9190 P
AX4  3.9404 0.9170 P
AX4  7.2283 0.9267 S
C05  3.9833 0.9255 P
C10  3.2908 0.9189 P
C56  3.8208 0.9291 P
C56  6.0412 0.9380 S
C62  4.5617 0.8870 P
C69  3.7866 0.9093 P
C72  3.7864 0.9225 P
# 2023  04  10   13    10   30.540     85.4478     27.9323    11.75     0.216     0.0     0.0    0.0    222
2D06 2.7889 0.9187 P
2D06 4.4837 0.9068 S
2D07 2.6993 0.5420 P
2D07 4.6140 0.9304 S
2D20 7.1094 0.8850 S
2D22 7.4618 0.8410 S
A000 6.4857 0.9213 S
A014 3.8177 0.9321 P
A014 6.0898 0.9808 S
A029 3.6904 0.9000 P
A039 5.2011 0.9516 S
A134 3.5962 0.9141 P
A134 6.0649 0.9337 S
A139 3.5911 0.9105 P
A149 3.6550 0.8380 P
A154 3.5910 0.9016 P
A154 7.0850 0.9282 S
A159 3.6443 0.9224 P
A159 6.0442 0.9023 S
A164 3.6392 0.9198 P
A164 6.3823 0.9126 S
A169 3.6127 0.9159 P
A169 6.0641 0.9209 S
A181 3.7095 0.9719 P
C05  3.5831 0.9333 P
C15  5.7756 0.9002 S
C56  3.2944 0.8800 P
C56  5.5185 0.9184 S
C62  5.7739 0.8930 S
# 2023  04  10   14    12   29.615     85.4677     27.9107    12.75     0.169     0.0     0.0    0.0    223
2D05 4.4528 0.9162 S
2D06 2.8504 0.9288 P
2D06 4.5666 0.9191 S
2D07 2.8626 0.8900 P
2D07 4.6801 0.9125 S
2D08 2.8203 0.9299 P
2D08 4.6938 0.9554 S
2D09 3.1998 0.9076 P
2D14 2.7697 0.9627 P
2D14 4.6840 0.9198 S
2D16 5.3869 0.9650 S
2D18 5.9020 0.9110 S
2D19 4.1252 0.9176 P
2D20 7.1499 0.9052 S
2D22 7.5132 0.8400 S
A004 5.3823 0.9241 S
A009 5.5029 0.2020 S
A039 5.3811 0.8480 S
A044 3.1251 0.8770 P
A132 3.6617 0.9047 P
A132 6.1697 0.9321 S
A134 3.6750 0.9268 P
A134 6.1160 0.9048 S
A139 3.6690 0.9187 P
A144 3.6294 0.9277 P
A149 3.7185 0.8870 P
A149 6.5212 0.8910 S
A154 3.6631 0.9013 P
A159 3.7305 0.9402 P
A159 6.3370 0.7000 S
A164 3.7391 0.9077 P
A164 6.5136 0.9346 S
A169 3.6959 0.9252 P
A169 6.1342 0.9151 S
C10  6.0389 0.9527 S
C21  5.9353 0.9555 S
C25  5.7883 0.8920 S
C56  3.3673 0.8910 P
C56  5.5949 0.9190 S
C62  4.8120 0.9288 S
C69  3.3225 0.9042 P
# 2023  04  10   15    38   40.540     85.5870     27.9504    14.20     0.064     0.0     0.0    0.0    224
2D05 2.8540 0.8940 P
2D06 2.6298 0.9111 P
2D06 4.3631 0.8940 S
2D16 3.1489 0.9595 P
2D18 4.8044 0.9196 S
2D20 6.1105 0.9073 S
2D22 5.2356 0.8720 S
A014 6.0296 0.9221 S
A019 3.1839 0.7670 P
A019 6.2198 0.9163 S
A039 3.1198 0.8970 P
A132 2.9430 0.8880 P
A132 4.9118 0.9414 S
A139 2.9714 0.9104 P
A149 5.5940 0.9233 S
A154 3.0188 0.9208 P
A154 5.0937 0.9379 S
A164 3.1332 0.9291 P
A164 6.1749 0.8770 S
A169 3.1475 0.9144 P
A174 3.1158 0.8900 P
A174 5.3344 0.8950 S
A179 5.6793 0.8510 S
A181 3.1929 0.9256 P
C10  2.5542 0.8970 P
C15  5.2155 0.9200 S
C56  3.0105 0.8970 P
C56  5.0980 0.9174 S
# 2023  04  10   16    53   33.790     85.5124     27.8945    12.75     0.114     0.0     0.0    0.0    225
2D04 3.2782 0.8900 P
2D04 4.3926 0.8130 S
2D05 2.4456 0.9291 P
2D05 4.1218 0.9059 S
2D06 2.6975 0.9345 P
2D06 4.3925 0.9599 S
2D07 2.6179 0.9354 P
2D07 4.3670 0.9190 S
2D08 2.8201 0.9344 P
2D09 3.0426 0.9400 P
2D14 2.7827 0.8560 P
2D16 3.1498 0.9589 P
2D16 4.6100 0.9076 S
2D18 3.1004 0.9148 P
2D18 4.9435 0.9284 S
2D19 3.7463 0.8560 P
2D19 6.0800 0.8770 S
2D20 3.9594 0.8280 P
2D20 6.1994 0.7580 S
2D22 4.0179 0.9251 P
2D22 6.6201 0.9180 S
A000 4.8788 0.7300 S
A004 3.1197 0.8800 P
A004 4.6796 0.9002 S
A009 5.0939 0.8710 S
A014 4.6659 0.8930 S
A019 4.6114 0.7340 S
A024 4.6380 0.7350 S
A029 4.6374 0.7520 S
A034 4.5133 0.9025 S
A039 4.4569 0.9234 S
A044 2.8727 0.7590 P
A044 4.5819 0.8930 S
A059 4.9666 0.9671 S
A132 3.3086 0.9095 P
A134 3.3546 0.9356 P
A134 5.7129 0.9319 S
A139 3.3802 0.9387 P
A144 3.3569 0.8710 P
A149 3.5091 0.8340 P
A149 6.2615 0.9604 S
A154 3.5017 0.8590 P
A159 3.5307 0.9304 P
A164 3.5510 0.9414 P
A164 5.9817 0.9617 S
A169 3.5490 0.9453 P
A169 6.1460 0.8550 S
A174 3.5354 0.9227 P
A174 5.8325 0.9461 S
A179 3.6398 0.9027 P
A179 6.2009 0.8780 S
A181 3.6122 0.9285 P
A181 6.3140 0.8940 S
AX4  3.4804 0.9164 P
C05  3.5702 0.9235 P
C05  6.0731 0.8870 S
C10  3.5213 0.8640 P
C15  3.4424 0.9161 P
C21  3.4574 0.9211 P
C90  3.9884 0.8680 P
C90  5.8844 0.9148 S
C56  3.3225 0.9273 P
C56  5.5653 0.9164 S
C62  3.2923 0.9129 P
C62  5.5725 0.9710 S
C69  3.2841 0.9277 P
C72  3.2665 0.9098 P
# 2023  04  10   17    27   54.080     85.5108     27.9260    12.65     -0.019     0.0     0.0    0.0    226
2D05 2.4301 0.9277 P
2D06 4.1011 0.9139 S
2D07 2.4936 0.9205 P
2D07 4.2492 0.9198 S
2D08 2.9543 0.9685 P
2D08 4.4453 0.8770 S
2D09 4.5777 0.9392 S
2D16 2.9872 0.8600 P
2D18 3.4137 0.9070 P
2D18 5.1857 0.9220 S
2D20 3.8772 0.9249 P
2D20 6.3654 0.8780 S
2D22 4.1084 0.8230 P
2D22 6.2613 0.9268 S
A000 2.9986 0.8150 P
A004 2.9746 0.9119 P
A004 5.2219 0.9124 S
A009 5.5314 0.9016 S
A014 4.7413 0.9093 S
A024 4.1056 0.9290 S
A039 2.8205 0.9272 P
A039 4.7588 0.9471 S
A044 2.8772 0.9099 P
A154 3.4787 0.8850 P
A154 5.2637 0.9186 S
A159 3.5263 0.8630 P
A159 5.6524 0.9065 S
A164 3.2853 0.7620 P
A164 5.5069 0.8740 S
A169 3.3270 0.9000 P
A169 5.3595 0.9123 S
A174 3.8210 0.9200 P
A179 5.4729 0.8640 S
A181 3.5534 0.9621 P
A181 5.4928 0.9226 S
AX4  3.3215 0.8770 P
C05  5.4269 0.8280 S
C10  5.2145 0.9033 S
C15  5.1514 0.8700 S
C25  5.1340 0.8240 S
C56  3.0047 0.9041 P
C56  4.9538 0.9437 S
C62  4.9565 0.8930 S
# 2023  04  10   17    31   36.695     85.7769     27.8231    11.75     0.156     0.0     0.0    0.0    227
2D05 4.8168 0.9288 P
2D05 7.9342 0.8700 S
2D06 5.1036 0.8970 P
2D07 5.0252 0.9133 P
2D07 8.1352 0.9361 S
2D09 5.2723 0.9166 P
2D16 3.8327 0.9316 P
2D16 6.3882 0.7910 S
2D18 3.7341 0.8970 P
2D18 6.0681 0.9243 S
2D19 3.8323 0.7900 P
2D19 6.2050 0.9154 S
2D20 3.0502 0.9490 P
2D20 5.2356 0.8920 S
2D22 4.6172 0.8310 P
2D22 7.5147 0.8190 S
A000 4.1856 0.9277 P
A000 7.1452 0.8950 S
A004 4.1508 0.9135 P
A004 6.9039 0.7830 S
A009 7.5410 0.8760 S
A014 4.2584 0.9080 P
A014 7.0231 0.8440 S
A019 7.3094 0.9114 S
A034 7.9912 0.9699 S
A039 4.3375 0.9294 P
A039 7.2311 0.9174 S
A044 3.9820 0.9461 P
A132 4.8458 0.8460 P
A132 8.4004 0.9005 S
A134 4.9050 0.9128 P
A139 5.3942 0.8850 P
A144 5.0469 0.9001 P
A149 5.1252 0.9255 P
A149 9.0414 0.8810 S
A154 5.1352 0.9341 P
A154 7.8698 0.9031 S
A159 5.2135 0.9231 P
A159 9.2166 0.9735 S
A164 5.2936 0.8900 P
A169 5.3856 0.9009 P
A179 5.6127 0.9791 P
A181 5.6143 0.9460 P
C56  5.6104 0.8910 P
C62  8.7867 0.9599 S
C72  11.0379 0.7490 S
# 2023  04  10   17    58   41.545     85.2184     27.7229    20.10     2.340     0.0     0.0    0.0    228
2D04 7.0727 0.9772 P
2D04 12.4912 0.8720 S
2D05 7.5250 0.9550 P
2D05 12.1034 0.9264 S
2D06 8.1031 0.9752 P
2D06 12.8802 0.8950 S
2D07 7.8844 0.9599 P
2D07 12.5696 0.9000 S
2D08 7.7512 0.9546 P
2D08 12.5538 0.8550 S
2D09 8.4846 0.9705 P
2D09 14.0299 0.6150 S
2D14 6.9660 0.9655 P
2D14 11.4760 0.9683 S
2D16 7.8777 0.9653 P
2D16 13.5717 0.9261 S
2D18 8.5316 0.9591 P
2D18 14.1465 0.8200 S
2D19 9.5082 0.9529 P
2D19 15.6470 0.8750 S
2D20 9.2412 0.9492 P
2D20 15.5143 0.8940 S
2D22 9.9760 0.9720 P
2D22 16.5818 0.7450 S
A000 7.5740 0.9630 P
A004 7.5872 0.9534 P
A004 13.1067 0.9529 S
A009 7.6106 0.9583 P
A009 12.7759 0.9538 S
A014 7.5910 0.9575 P
A014 12.8980 0.6260 S
A019 7.6229 0.9558 P
A024 7.6421 0.9528 P
A024 11.2105 0.8400 S
A029 7.6658 0.9526 P
A029 12.7880 0.9270 S
A034 7.7288 0.9447 P
A034 13.5878 0.8690 S
A039 7.7823 0.9661 P
A039 13.5160 0.8420 S
