2023 05 02 00 00  7.539 85.4677  27.8988   0.183  5.63   45 187.022  0.190      1
2023 05 02 02 30 33.061 85.6108  27.8779   1.500  6.08   90 340.097  0.305      2
2023 05 02 03 55 46.958 85.6550  27.9782   2.500  5.65   69 183.412  0.413      3
2023 05 02 09 33  6.868 85.4455  27.8386  15.500  6.60  120 340.945  0.293      4
2023 05 02 13 10 23.314 85.4530  27.7677   0.061  5.88   33 325.608  0.126      5
2023 05 02 14 49 24.067 85.6086  28.0296  16.500  7.03  333 145.814  0.394      6
2023 05 02 17 04 59.783 85.5332  28.1546   0.500  6.74  417 189.811  0.236      7
2023 05 02 18 18 41.690 85.4829  27.8768   1.500  5.31   48 179.901  0.276      8
2023 05 02 19 40  1.623 85.3932  27.8914   2.500  5.58   39 349.085  0.386      9
2023 05 02 20 20 18.939 85.6681  28.0114   1.500  5.64   39 275.911  0.177     10
2023 05 02 21 06 31.788 85.4077  27.8206   0.500  6.25   60 352.869  0.215     11
2023 05 02 21 22 24.236 85.7230  27.8920   0.500  7.59  219 205.706  0.149     12
2023 05 02 21 25  1.166 85.3759  27.9336  15.500  6.69   93 282.200  0.388     13
2023 05 02 21 42 14.229 85.5306  27.7052   2.500  6.01  123 313.859  0.351     14
