2D01 27.832904 85.5726643
2D03 27.8398116 85.5272561
2D04 27.8747526 85.5158578
2D05 27.9006393 85.540277
2D06 27.9565622 85.5459561
2D07 27.9317589 85.5432866
2D08 27.9501591 85.5083482
2D09 27.9688629 85.5544999
2D10 27.7973138 85.5473276
2D11 27.7760252 85.5610127
2D12 27.8064069 85.5146063
2D13 27.8164667 85.4566594
2D14 27.9048463 85.4791609
2D15 27.8245429 85.4877085
2D16 27.8563479 85.5920743
2D17 27.8246293 85.6079476
2D18 27.8963788 85.6211176
2D19 27.9428641 85.6582466
2D20 27.8765582 85.6725302
2D21 27.7878418 85.617848
2D22 27.986411 85.6618586
A000 27.8406027 85.5719711
A001 27.84095 85.5720898
A002 27.8416417 85.5719573
A003 27.8424454 85.5720842
A004 27.8434845 85.572705
A005 27.8442863 85.5725972
A006 27.8446548 85.5724232
A007 27.8461448 85.5715817
A008 27.8471611 85.5708919
A009 27.8479667 85.5703512
A010 27.8486281 85.5695472
A011 27.849813 85.5687741
A012 27.8508058 85.5683804
A013 27.8514601 85.5681385
A014 27.8524474 85.567301
A015 27.8532339 85.5671299
A016 27.8539742 85.5665409
A017 27.8546795 85.5670015
A018 27.8561752 85.5667567
A019 27.8569438 85.5664599
A020 27.8580607 85.5669066
A021 27.8588691 85.5662333
A022 27.860258 85.5667624
A023 27.8609792 85.5665509
A024 27.8614609 85.5671219
A025 27.8622402 85.5674673
A026 27.8631588 85.5675095
A027 27.8639709 85.5682832
A028 27.8647995 85.5675109
A029 27.8660089 85.5680854
A030 27.8670576 85.5686665
A031 27.8677146 85.5687457
A032 27.8686965 85.5687792
A033 27.8697407 85.5689097
A034 27.8703689 85.5697232
A035 27.8716868 85.5704218
A036 27.8727482 85.5702916
A037 27.8730851 85.5703845
A038 27.8742176 85.5702852
A039 27.8752143 85.5700938
A040 27.8759618 85.5697474
A041 27.8768968 85.569007
A042 27.8778339 85.5693037
A043 27.8788203 85.5698904
A044 27.8795804 85.5692994
A045 27.8804444 85.5693141
A046 27.8814803 85.5695264
A047 27.8824902 85.5680381
A048 27.8832505 85.5674755
A049 27.884261 85.5675662
A050 27.8850844 85.5682366
A051 27.8858361 85.5696076
A052 27.8866711 85.5708843
A053 27.8876969 85.5713813
A054 27.8885397 85.5715893
A056 27.8899816 85.5741276
A057 27.8907652 85.5739431
A058 27.8918025 85.5740922
A059 27.8930428 85.5756096
A060 27.8942583 85.5762182
A061 27.8949186 85.5763682
A062 27.8958825 85.5766393
A063 27.8968083 85.5777216
A064 27.8975798 85.578657
A065 27.8984695 85.5790877
A066 27.8993361 85.5791572
A067 27.900113 85.5792655
A068 27.901085 85.5801788
A069 27.9018787 85.5808268
A070 27.9030832 85.5818922
A071 27.9039536 85.5826447
A072 27.9050146 85.5840462
A073 27.9056688 85.5842876
A074 27.9064766 85.5838596
A075 27.9076963 85.5832582
A076 27.9085494 85.5828904
A077 27.9092549 85.5837906
A078 27.9101729 85.5843215
A079 27.9110515 85.5847892
A080 27.9118959 85.5851687
A081 27.9130872 85.5858236
A082 27.9138957 85.5868968
A083 27.9147305 85.587418
A084 27.9157543 85.5880752
A085 27.9165985 85.5887124
A086 27.9175456 85.5892517
A087 27.9181481 85.5903595
A088 27.9188747 85.5908994
A089 27.9201567 85.592504
A090 27.9210018 85.5924535
A091 27.9221649 85.593027
A092 27.923121 85.5938635
A093 27.9239457 85.5955069
A094 27.9247973 85.5966128
A095 27.925748 85.5978754
A096 27.9264006 85.5980957
A097 27.9274187 85.5985215
A098 27.92819 85.5985768
A099 27.9291203 85.5986813
A100 27.9299861 85.5987923
A101 27.9308976 85.5987607
A102 27.9318249 85.5986281
A103 27.9329439 85.5990654
A104 27.9337515 85.5989283
A105 27.9346442 85.5992474
A106 27.9356213 85.5995774
A107 27.9365563 85.5992109
A108 27.9375047 85.5988365
A109 27.9383334 85.5981856
A110 27.9392873 85.597605
A111 27.9398493 85.5972699
A112 27.9410614 85.5966977
A113 27.9419437 85.5963193
A114 27.9425947 85.595637
A115 27.9436103 85.5968354
A132 27.9591939 85.5903025
A133 27.9599662 85.5892437
A134 27.9608906 85.588821
A135 27.9617791 85.5884297
A136 27.9625077 85.588063
A137 27.9635491 85.5880486
A138 27.9644038 85.5880121
A139 27.9653644 85.5878036
A140 27.9660747 85.5876087
A141 27.9672376 85.5872772
A142 27.9679717 85.5868326
A143 27.9689006 85.5868022
A144 27.969866 85.5865222
A145 27.9709555 85.5864428
A146 27.9716868 85.5861275
A147 27.9727094 85.5856245
A148 27.973533 85.584847
A149 27.9744963 85.5832788
A150 27.9752502 85.5823727
A151 27.9762152 85.5826375
A152 27.9770412 85.5823828
A153 27.9779899 85.5825899
A154 27.978909 85.5824351
A155 27.9798179 85.5823734
A156 27.9807237 85.5822686
A157 27.9814682 85.582101
A158 27.9825142 85.581879
A159 27.9833937 85.5811812
A160 27.9845122 85.5810141
A161 27.9852269 85.5804673
A162 27.9861827 85.5799534
A163 27.9871598 85.5791603
A164 27.9880439 85.5784171
A165 27.988997 85.5772756
A166 27.9898 85.5758451
A167 27.990679 85.5743677
A168 27.9915309 85.5736132
A169 27.9924492 85.5724964
A170 27.9934381 85.5706309
A171 27.9942524 85.5689219
A172 27.9951559 85.5679623
A173 27.9961439 85.5679679
A174 27.996886 85.567799
A175 27.9977716 85.5675402
A176 27.9985798 85.567509
A177 27.9993693 85.5671395
A178 28.0008262 85.5666251
A179 28.0014729 85.5670772
A180 28.0023924 85.566654
A181 28.0033128 85.5666192
AX1 27.9926251 85.5709786
AX2 27.9926428 85.5701041
AX3 27.9922864 85.5691101
AX4 27.9919747 85.5678601
AX5 27.9403043 85.5974873
AX6 27.9408112 85.5980013
B01 27.8658216 85.566834
B02 27.86583 85.5662225
B03 27.8659042 85.5656776
B04 27.8658717 85.5652455
B05 27.8662942 85.5650147
B06 27.8666126 85.5641366
B07 27.8664709 85.563719
B08 27.8667884 85.5632043
B09 27.8672736 85.5626447
B10 27.8658015 85.5623056
B11 27.8669714 85.5615915
B12 27.8674624 85.5612545
B13 27.8686289 85.5606169
B14 27.8680947 85.5599251
B15 27.8670599 85.5597704
B16 27.8674573 85.5591847
B17 27.867014 85.5583939
B18 27.8664299 85.5580298
B19 27.8659294 85.5576124
B20 27.866329 85.5573076
B22 27.866554 85.5559952
B23 27.8658454 85.5557994
B24 27.8661198 85.5549759
B26 27.8659467 85.5539798
B27 27.8665679 85.5535018
B28 27.8667588 85.55309
B29 27.8675357 85.5524383
B31 27.8679907 85.5520198
B33 27.8674275 85.5511881
B34 27.8682978 85.5504638
B35 27.8688743 85.5500751
B36 27.8687943 85.5490998
B37 27.8685587 85.5484651
B38 27.8680862 85.5483223
B39 27.8681328 85.5470497
B41 27.8677914 85.5461066
B42 27.8691531 85.5462644
B43 27.8704284 85.5452316
B46 27.8697468 85.5436996
B48 27.8684154 85.5424897
B50 27.86825 85.5417732
BX1 27.8643914 85.5576794
BX2 27.863669 85.5569232
BX3 27.8633309 85.555964
C01 28.0003812 85.5665132
C02 27.9992552 85.5661462
C03 27.9986336 85.5655571
C04 27.9983535 85.5649962
C05 27.997998 85.5645302
C06 27.9983441 85.5640247
C07 27.9982971 85.5635871
C08 27.9977246 85.5630752
C09 27.9971447 85.5625264
C10 27.9973079 85.5619733
C11 27.9976455 85.5615516
C12 27.9975847 85.5609825
C13 27.9974843 85.5604739
C14 27.9976422 85.5599517
C15 27.9975424 85.5594153
C16 27.998157 85.5590425
C17 27.9979385 85.5584436
C18 27.9980905 85.5578958
