# 2023 04 18 00 32 50.939 85.6864  27.5337  14.430  6.36 0 0 0      1
 A152   5.338 1 S
 A009   4.878 1 S
 A009   2.598 1 P
 A154   3.038 1 P
 A154   5.258 1 S
 A155   3.048 1 P
 A155   5.278 1 S
 A156   3.048 1 P
 A156   5.278 1 S
 A157   5.258 1 S
 A158   3.088 1 P
 A158   5.288 1 S
 A160   3.088 1 P
 A160   5.338 1 S
 A010   2.558 1 P
 A010   4.618 1 S
 A161   3.078 1 P
 A161   5.298 1 S
 A162   3.128 1 P
 A162   5.308 1 S
 A163   5.328 1 S
 A164   3.238 1 P
 A164   5.418 1 S
 A012   5.038 1 S
 A012   2.518 1 P
 A165   3.108 1 P
 A165   5.328 1 S
 A042   4.748 1 S
 A042   2.498 1 P
 A045   4.698 1 S
 A045   2.548 1 P
 A167   5.358 1 S
 A050   2.548 1 P
 A050   4.608 1 S
 A049   2.548 1 P
 A049   4.618 1 S
  C12   3.398 1 P
  C12   5.208 1 S
  C14   4.328 1 S
  C15   5.038 1 S
  C18   3.238 1 P
  C18   5.098 1 S
  C19   5.118 1 S
  C20   3.228 1 P
  C20   5.088 1 S
  C21   5.038 1 S
  C41   2.768 1 P
  C41   4.948 1 S
  BX1   2.308 1 P
  BX1   4.178 1 S
  C42   5.078 1 S
  C43   5.118 1 S
  C47   5.008 1 S
  C49   5.008 1 S
  BX3   2.318 1 P
  BX3   4.178 1 S
  C50   3.368 1 P
  C50   4.968 1 S
  C52   4.928 1 S
  C55   3.248 1 P
  C55   4.868 1 S
  C56   2.768 1 P
  C56   4.878 1 S
  C57   3.048 1 P
  C57   4.848 1 S
  C58   3.078 1 P
  C58   4.868 1 S
  C63   2.618 1 P
  C63   4.748 1 S
 2D06   2.188 1 P
 2D06   3.898 1 S
  C71   4.628 1 S
 2D07   3.838 1 S
 2D07   2.208 1 P
  B38   2.158 1 P
 2D04   2.148 1 P
 2D04   3.938 1 S
 2D03   2.388 1 P
 2D03   4.538 1 S
 2D13   2.488 1 P
