# 2023 04 13 00 19  6.761 85.5622  28.1551  10.567  6.21 0 0 0      1
 2D04   4.499 1 S
  C03  12.080 1 S
  C06   7.050 1 P
  C06  12.000 1 S
  C07   7.010 1 P
  C07  11.970 1 S
  C09   7.020 1 P
  C11   7.220 1 P
  C13  11.830 1 S
  C14  11.830 1 S
 2D09   6.380 1 P
 2D09  11.380 1 S
  C15   6.930 1 P
  C15  11.780 1 S
  C16   7.020 1 P
  C16  11.900 1 S
  C18   7.050 1 P
  C19   6.930 1 P
  C20   6.900 1 P
  C20  11.770 1 S
 2D07   6.000 1 P
 2D07  10.480 1 S
  C42   6.770 1 P
  C42  11.660 1 S
  C43   6.610 1 P
  C43  11.620 1 S
 2D06   5.970 1 P
  C47   6.760 1 P
  C49   6.820 1 P
  C49  11.500 1 S
  C50   6.970 1 P
  C50  11.600 1 S
  C51   6.730 1 P
  C51  11.500 1 S
  C53   6.730 1 P
  C55   6.720 1 P
  C55  11.460 1 S
  C57   6.780 1 P
  C57  11.450 1 S
  C60   7.260 1 P
  C63  11.300 1 S
  C64  11.310 1 S
# 2023 04 13 03 24  7.269 85.5637  27.7203  13.530  6.07 0 0 0      3
 A087   2.521 1 P
 A087   4.451 1 S
 A086   2.551 1 P
 A086   4.441 1 S
 A085   2.551 1 P
 A085   4.401 1 S
 A084   2.511 1 P
 A084   4.431 1 S
 A139   2.761 1 P
 A139   4.831 1 S
 A154   2.761 1 P
 A154   4.761 1 S
 A155   2.761 1 P
 A155   4.941 1 S
 A156   2.801 1 P
 A156   4.851 1 S
 A157   2.771 1 P
 A158   2.801 1 P
 A158   5.271 1 S
 A162   2.831 1 P
 A163   2.841 1 P
 A165   2.861 1 P
 A165   4.961 1 S
 A166   2.871 1 P
 A166   5.141 1 S
 A040   2.521 1 P
 2D09   2.501 1 P
 2D09   4.441 1 S
# 2023 04 13 04 12 29.144 85.5331  27.7529  14.619  6.44 0 0 0      4
 A094   5.476 1 S
  AX5   3.196 1 P
  AX5   5.266 1 S
 A086   5.416 1 S
 A086   3.216 1 P
 A085   5.416 1 S
 A084   5.396 1 S
 A080   5.526 1 S
 A137   5.316 1 S
 A139   5.336 1 S
 A141   5.376 1 S
 A070   5.486 1 S
 A145   5.386 1 S
 A149   5.406 1 S
 A154   3.156 1 P
 A154   5.286 1 S
 A155   5.246 1 S
 A158   5.246 1 S
 A159   3.126 1 P
 A159   5.486 1 S
 A161   3.126 1 P
 A161   5.266 1 S
 A162   3.116 1 P
 A162   5.266 1 S
 A163   3.086 1 P
 A163   5.266 1 S
 A164   3.086 1 P
 A164   5.296 1 S
 A165   5.286 1 S
 A166   5.416 1 S
 A168   3.116 1 P
 A168   5.216 1 S
 A169   5.206 1 S
  AX1   3.026 1 P
  AX1   5.206 1 S
 A171   3.046 1 P
 A171   5.246 1 S
 A172   3.116 1 P
 A172   5.226 1 S
 A173   5.216 1 S
 A174   3.006 1 P
 A174   5.156 1 S
 A175   2.996 1 P
 A175   5.146 1 S
 A176   3.016 1 P
 A176   5.156 1 S
  C99   5.156 1 S
  C03   5.166 1 S
  C03   3.006 1 P
  C06   5.076 1 S
  C06   2.926 1 P
  C07   5.126 1 S
  C09   5.006 1 S
  C10   5.056 1 S
  C11   5.016 1 S
  C11   2.886 1 P
  C14   5.006 1 S
  C14   2.886 1 P
  C15   4.936 1 S
  C15   2.866 1 P
  C16   5.056 1 S
  C16   2.886 1 P
  C17   5.296 1 S
  C17   2.886 1 P
  C42   4.886 1 S
 2D09   4.706 1 S
 2D09   2.696 1 P
  C47   2.726 1 P
  C48   4.906 1 S
  C48   2.766 1 P
  C49   4.896 1 S
  C49   2.766 1 P
  C50   4.846 1 S
  C50   2.756 1 P
  C51   4.826 1 S
  C51   2.756 1 P
  C53   4.886 1 S
  C54   4.886 1 S
  C54   2.716 1 P
  C55   4.726 1 S
  C56   4.756 1 S
  C56   2.686 1 P
  C57   4.746 1 S
  C58   4.786 1 S
  C58   2.686 1 P
  C63   4.706 1 S
  C63   2.646 1 P
 2D06   4.246 1 S
 2D06   2.526 1 P
  C64   4.676 1 S
  C64   2.646 1 P
  C67   4.676 1 S
  C68   4.626 1 S
  C68   2.606 1 P
  C71   4.596 1 S
  C71   2.596 1 P
# 2023 04 13 04 13 48.820 85.5603  27.6364  13.087  6.43 0 0 0      5
 2D18   2.450 1 P
 2D18   4.210 1 S
 A100   4.330 1 S
 A096   4.440 1 S
 A096   2.580 1 P
 A095   4.420 1 S
 A095   2.730 1 P
 A108   4.810 1 S
 A094   4.380 1 S
  AX6   4.410 1 S
  AX5   4.260 1 S
  AX5   2.540 1 P
 A093   2.980 1 P
 A089   4.220 1 S
 A086   2.460 1 P
 A086   4.220 1 S
 A084   4.170 1 S
 A083   4.420 1 S
 A083   2.500 1 P
 A133   4.700 1 S
 A133   2.730 1 P
 A081   4.260 1 S
 A081   2.300 1 P
 A134   4.590 1 S
 A135   4.670 1 S
 A135   2.700 1 P
 A080   2.640 1 P
 A080   4.200 1 S
 A136   2.690 1 P
 A139   4.650 1 S
