# 2023 04 27 00 45 25.725 85.6868  27.5566  14.684  6.43 0 0 0      1
 2D20   3.395 1 S
 2D22   2.805 1 P
 2D22   5.195 1 S
 2D19   4.345 1 S
 2D19   2.315 1 P
 A106   2.945 1 P
 A106   5.385 1 S
  AX6   2.985 1 P
  AX6   5.455 1 S
 A107   2.945 1 P
 A107   5.415 1 S
 A101   5.345 1 S
 A132   3.295 1 P
 A132   5.995 1 S
 A100   5.355 1 S
 A100   2.925 1 P
 A145   3.505 1 P
 A145   6.275 1 S
 A146   3.525 1 P
 A146   6.325 1 S
 A099   5.345 1 S
 A099   2.905 1 P
 A144   3.485 1 P
 A144   6.305 1 S
 A143   3.495 1 P
 A143   6.355 1 S
 A141   3.465 1 P
 A141   6.185 1 S
 A140   3.425 1 P
 A140   6.125 1 S
 A147   3.555 1 P
 A147   6.385 1 S
 A139   6.075 1 S
 A138   6.155 1 S
 A138   3.415 1 P
 A133   6.075 1 S
 A133   3.345 1 P
 A137   6.105 1 S
 A137   3.415 1 P
 A098   2.925 1 P
 A098   5.365 1 S
 A134   6.085 1 S
 A134   3.375 1 P
 A135   6.115 1 S
 A148   3.535 1 P
 A148   6.385 1 S
 A136   6.125 1 S
 A136   3.385 1 P
 A097   5.335 1 S
 A097   2.945 1 P
 A157   3.665 1 P
 A157   6.555 1 S
 A156   3.625 1 P
 A156   6.505 1 S
 A159   3.695 1 P
 A154   3.595 1 P
 A153   3.585 1 P
 A153   6.555 1 S
 A096   5.425 1 S
 A096   2.925 1 P
 A162   3.705 1 P
 A162   6.835 1 S
 A149   3.595 1 P
 A149   6.435 1 S
 A151   3.585 1 P
 A152   3.605 1 P
 A152   6.545 1 S
 A095   2.925 1 P
 A095   5.435 1 S
 A163   6.835 1 S
 A150   3.545 1 P
 A150   6.355 1 S
 A094   5.375 1 S
 A094   2.905 1 P
 A093   5.435 1 S
 A167   3.795 1 P
 A167   6.745 1 S
 A168   3.835 1 P
  AX1   3.835 1 P
 A091   5.305 1 S
 A180   7.325 1 S
 A180   4.015 1 P
 A176   7.115 1 S
 A176   3.975 1 P
 A171   7.075 1 S
 A171   3.935 1 P
 A175   7.045 1 S
 A175   3.935 1 P
 A174   7.055 1 S
 A174   3.945 1 P
  AX3   6.975 1 S
 A090   2.905 1 P
 A090   5.385 1 S
 A172   3.935 1 P
  AX4   3.875 1 P
  AX4   7.025 1 S
 A087   5.375 1 S
 A087   2.905 1 P
  C08   7.055 1 S
  C12   3.985 1 P
  C12   6.995 1 S
  C14   3.985 1 P
  C14   7.005 1 S
  C15   3.185 1 P
  C15   6.955 1 S
 A084   2.915 1 P
 A084   5.375 1 S
  C16   3.915 1 P
  C16   7.105 1 S
  C20   3.195 1 P
  C20   6.915 1 S
  C41   3.945 1 P
  C42   3.965 1 P
  C42   7.075 1 S
  C43   3.375 1 P
  C43   7.065 1 S
 A080   5.475 1 S
  C47   4.035 1 P
  C47   7.135 1 S
  C48   4.065 1 P
  C48   7.185 1 S
  C49   7.135 1 S
  C50   4.055 1 P
  C50   7.065 1 S
  C51   4.065 1 P
  C51   7.125 1 S
  C52   4.045 1 P
  C52   7.155 1 S
 A077   5.595 1 S
  C53   7.155 1 S
  C55   4.065 1 P
  C55   7.155 1 S
 A076   3.015 1 P
  C57   4.085 1 P
  C57   7.195 1 S
  C64   4.075 1 P
  C64   7.265 1 S
 A070   2.905 1 P
 A069   5.425 1 S
  C71   4.085 1 P
  C71   7.215 1 S
 A068   5.535 1 S
 A067   5.475 1 S
 A066   5.515 1 S
 A065   5.475 1 S
 A064   5.575 1 S
 2D17   3.455 1 P
 2D06   6.145 1 S
 2D21   4.475 1 S
 2D21   2.345 1 P
 2D07   6.195 1 S
 A042   5.395 1 S
 A037   3.435 1 P
  B37   5.985 1 S
 2D03   3.435 1 P
 2D10   3.105 1 P
 2D10   5.905 1 S
# 2023 04 27 03 23 46.045 85.5790  27.8009  13.297  6.54 0 0 0      2
  B41   3.635 1 S
  B35   3.595 1 S
  B34   1.955 1 P
  B34   3.615 1 S
 2D03   2.345 1 P
 2D03   4.165 1 S
  B33   3.625 1 S
 2D12   4.545 1 S
 2D12   2.525 1 P
  BX3   2.125 1 P
  BX3   3.615 1 S
  BX1   1.985 1 P
  BX1   3.585 1 S
  B10   3.685 1 S
 A002   3.875 1 S
 A003   2.175 1 P
 A003   3.865 1 S
 A006   2.185 1 P
 A006   3.885 1 S
 A005   2.135 1 P
 A005   3.875 1 S
 A004   2.145 1 P
 A004   3.865 1 S
 A053   2.145 1 P
 2D19   2.655 1 P
 A063   2.155 1 P
 A063   4.045 1 S
 A064   4.055 1 S
 A065   2.185 1 P
 A065   4.255 1 S
 A069   2.185 1 P
 A069   4.095 1 S
 A095   2.335 1 P
 A096   2.315 1 P
 A097   2.335 1 P
 A098   2.335 1 P
 A099   2.315 1 P
 A082   4.175 1 S
 A082   2.255 1 P
 A079   4.155 1 S
 A079   2.215 1 P
 A101   2.295 1 P
 A080   2.225 1 P
 A080   4.155 1 S
 A081   2.225 1 P
 A081   4.095 1 S
 A110   2.365 1 P
 A110   4.585 1 S
  AX6   2.335 1 P
 A111   4.145 1 S
 A111   2.365 1 P
  AX5   2.345 1 P
 A133   2.575 1 P
 A133   5.085 1 S
 A134   2.585 1 P
 A135   2.575 1 P
 A135   5.065 1 S
 A136   2.575 1 P
 A137   2.625 1 P
 A138   2.585 1 P
 A139   2.615 1 P
 A140   2.605 1 P
 A143   2.615 1 P
 A144   2.665 1 P
 A145   2.665 1 P
 A146   2.675 1 P
 A148   5.115 1 S
 A149   2.705 1 P
 A150   2.655 1 P
 A152   2.725 1 P
 A152   4.665 1 S
 A155   2.735 1 P
 A155   4.825 1 S
 A156   2.765 1 P
 A156   4.825 1 S
 A158   2.775 1 P
 A158   4.895 1 S
 A159   2.805 1 P
 A160   2.815 1 P
 A161   2.815 1 P
 A162   2.825 1 P
 A163   2.825 1 P
 A164   2.815 1 P
 A165   2.865 1 P
 A167   2.855 1 P
 A167   4.875 1 S
 A168   2.815 1 P
  AX1   2.865 1 P
 A170   5.995 1 S
 A170   2.905 1 P
  AX3   2.815 1 P
 A171   2.905 1 P
  AX4   2.855 1 P
 A175   2.885 1 P
 A176   5.825 1 S
 A176   2.945 1 P
  C01   2.935 1 P
  C02   2.895 1 P
  C06   2.885 1 P
  C06   5.035 1 S
  C07   2.895 1 P
  C07   5.155 1 S
  C09   2.825 1 P
  C10   2.825 1 P
  C12   2.865 1 P
  C13   2.815 1 P
  C15   2.815 1 P
  C15   5.155 1 S
  C22   1.945 1 P
  C41   2.785 1 P
  C41   4.785 1 S
  C42   2.815 1 P
  C42   5.095 1 S
  C43   2.825 1 P
  C43   5.055 1 S
  C47   2.825 1 P
  C48   2.865 1 P
  C49   2.845 1 P
  C49   5.065 1 S
  C50   2.855 1 P
  C51   2.845 1 P
  C52   2.825 1 P
  C53   2.825 1 P
  C53   4.945 1 S
  C54   2.825 1 P
  C54   5.025 1 S
  C55   2.815 1 P
  C55   4.995 1 S
  C56   2.825 1 P
  C56   5.005 1 S
  C57   2.815 1 P
  C58   2.815 1 P
  C58   5.005 1 S
 2D06   3.825 1 S
 2D06   2.185 1 P
 2D07   2.105 1 P
# 2023 04 27 05 01  4.882 85.5414  27.6630  14.433  6.34 0 0 0      3
 2D20   2.948 1 P
 2D20   4.878 1 S
 A107   2.708 1 P
 A107   4.508 1 S
  AX6   2.588 1 P
  AX6   4.478 1 S
  AX5   2.678 1 P
  AX5   4.418 1 S
 A133   4.858 1 S
 A139   4.868 1 S
 A145   4.968 1 S
 A146   4.988 1 S
 A147   3.178 1 P
 A147   5.028 1 S
 A156   3.188 1 P
 A156   5.098 1 S
 A155   3.348 1 P
 A155   5.058 1 S
 A153   5.018 1 S
 A154   5.008 1 S
 A157   5.078 1 S
 A158   5.088 1 S
 A152   5.048 1 S
 A150   4.958 1 S
 A159   5.118 1 S
 A160   5.168 1 S
 A161   5.128 1 S
 A162   3.518 1 P
 A162   5.148 1 S
 A163   5.178 1 S
 A164   5.218 1 S
 A165   5.198 1 S
 A166   5.258 1 S
 A079   2.588 1 P
 A077   2.628 1 P
  AX3   5.198 1 S
 A074   2.588 1 P
 A175   5.298 1 S
 A180   5.468 1 S
 A180   3.098 1 P
  AX4   4.528 1 S
  C02   5.318 1 S
  C99   5.318 1 S
  C03   5.338 1 S
  C06   5.258 1 S
 A067   2.588 1 P
  C48   5.338 1 S
  C48   3.298 1 P
  C51   3.228 1 P
  C55   5.268 1 S
  C55   3.298 1 P
  C57   5.228 1 S
  C58   5.218 1 S
  C58   3.398 1 P
 2D06   2.668 1 P
 2D06   4.228 1 S
 A045   2.538 1 P
 A005   4.358 1 S
 A005   2.648 1 P
 A006   4.388 1 S
 A006   2.648 1 P
 A004   4.398 1 S
 A004   2.658 1 P
 A008   4.368 1 S
 A008   2.598 1 P
 A009   4.488 1 S
 A009   2.618 1 P
  B10   2.528 1 P
  B10   4.228 1 S
 A010   4.298 1 S
 A010   2.618 1 P
 A003   4.428 1 S
 A003   2.658 1 P
 A002   4.468 1 S
 A002   2.648 1 P
 A001   4.448 1 S
 A001   2.658 1 P
  B42   2.508 1 P
 2D03   2.918 1 P
 2D15   5.418 1 S
# 2023 04 27 07 11  3.512 85.5917  27.9624  11.463  7.10 0 0 0      4
  C81   2.538 1 P
  C81   4.538 1 S
  C80   2.538 1 P
  C80   4.528 1 S
  C78   2.548 1 P
  C78   4.608 1 S
 2D08   2.218 1 P
 2D08   4.138 1 S
  C76   2.528 1 P
  C71   4.518 1 S
  C71   2.508 1 P
  C70   4.688 1 S
  C70   2.538 1 P
  C69   4.608 1 S
  C69   2.508 1 P
  C68   4.518 1 S
  C68   2.498 1 P
  C64   4.788 1 S
  C64   2.548 1 P
  C67   4.528 1 S
  C67   2.498 1 P
  C65   4.648 1 S
  C65   2.508 1 P
  C63   4.648 1 S
  C63   2.548 1 P
  C61   5.028 1 S
  C61   2.518 1 P
 2D15   4.158 1 S
 2D15   2.238 1 P
  C60   4.688 1 S
  C60   2.548 1 P
  C59   4.658 1 S
  C59   2.548 1 P
  C58   4.688 1 S
  C58   2.548 1 P
  C57   4.608 1 S
  C57   2.548 1 P
  C56   4.608 1 S
  C56   2.548 1 P
  C55   4.598 1 S
  C55   2.548 1 P
  C54   2.568 1 P
 2D04   1.948 1 P
 2D04   3.588 1 S
  C53   2.578 1 P
  C53   4.738 1 S
  C52   2.558 1 P
  C52   4.608 1 S
  C51   2.578 1 P
  C51   4.768 1 S
  C50   4.728 1 S
  C49   2.588 1 P
  C48   2.598 1 P
  C48   4.798 1 S
  C47   2.588 1 P
  C47   4.688 1 S
 2D12   2.238 1 P
 2D12   4.238 1 S
  C46   2.578 1 P
  C46   4.828 1 S
  C45   2.598 1 P
 2D06   1.918 1 P
 2D03   2.018 1 P
 2D03   3.808 1 S
 2D07   3.558 1 S
 2D07   1.838 1 P
  C43   4.738 1 S
  C43   2.588 1 P
  C42   4.608 1 S
  C42   2.578 1 P
  C41   4.698 1 S
  C41   2.548 1 P
  C24   4.698 1 S
  C24   2.568 1 P
  C23   4.768 1 S
  C23   2.578 1 P
  B50   3.278 1 S
  C22   4.838 1 S
  C22   2.578 1 P
  B46   3.318 1 S
  C21   1.508 1 P
  B43   3.268 1 S
 2D09   4.138 1 S
 2D09   2.228 1 P
  B41   3.258 1 S
  B42   3.268 1 S
  C20   2.588 1 P
  B39   3.318 1 S
  C19   2.598 1 P
  B37   3.328 1 S
  B36   3.318 1 S
  C18   2.608 1 P
  B35   3.278 1 S
  B34   1.998 1 P
  B34   3.278 1 S
  B33   1.718 1 P
  B33   3.268 1 S
  C17   2.608 1 P
 2D10   4.258 1 S
 2D10   2.228 1 P
  B31   3.238 1 S
  B31   1.718 1 P
  B28   3.268 1 S
  C16   2.608 1 P
  C16   5.078 1 S
  B27   3.268 1 S
  B26   3.288 1 S
  C15   2.578 1 P
  B24   3.308 1 S
  B23   1.848 1 P
  B23   3.278 1 S
  B22   1.758 1 P
  B22   3.318 1 S
  BX3   3.288 1 S
  BX3   1.748 1 P
  BX2   3.318 1 S
  BX2   1.768 1 P
  BX1   3.278 1 S
  BX1   1.718 1 P
  C13   4.928 1 S
  C13   2.588 1 P
  B17   3.318 1 S
  B16   3.358 1 S
  C12   4.878 1 S
  C12   2.598 1 P
  B12   3.338 1 S
  B11   3.348 1 S
  C11   2.598 1 P
  B10   3.378 1 S
  B10   1.888 1 P
  C10   2.598 1 P
  B06   3.488 1 S
  C09   2.598 1 P
  B05   1.948 1 P
  B05   3.468 1 S
  B04   1.868 1 P
  B04   3.498 1 S
 A021   3.468 1 S
