# 2023 04 12 00 30 33.397 85.3933  28.3791  37.190  7.68 0 0 0      1
 A012   5.689 1 S
 A011   5.839 1 S
  C18   3.049 1 P
  C18   5.409 1 S
 A009   5.509 1 S
 A048   5.159 1 S
 A049   2.949 1 P
 A049   5.159 1 S
  C17   3.029 1 P
  C17   5.409 1 S
 A050   3.209 1 P
 A050   5.139 1 S
 A007   3.199 1 P
 A041   5.279 1 S
 A041   2.729 1 P
 A042   5.289 1 S
 A042   2.959 1 P
 A044   5.289 1 S
 A006   5.349 1 S
 A045   5.259 1 S
 A045   2.789 1 P
 A004   5.329 1 S
 A004   3.159 1 P
  C16   3.079 1 P
  C16   5.399 1 S
 A046   5.239 1 S
 A043   5.259 1 S
 A043   2.989 1 P
 A051   5.219 1 S
  C15   3.019 1 P
  C15   5.339 1 S
 A052   5.189 1 S
 A053   5.239 1 S
  C13   3.039 1 P
  C11   5.439 1 S
  C11   3.079 1 P
  C09   5.379 1 S
  C09   3.069 1 P
 A060   5.229 1 S
 A060   3.069 1 P
 A061   5.289 1 S
 A061   3.029 1 P
  C07   5.419 1 S
  C07   3.109 1 P
 A062   5.239 1 S
 A062   3.029 1 P
  C06   5.489 1 S
  C06   3.119 1 P
 A063   5.179 1 S
 A063   3.029 1 P
 A064   5.319 1 S
 A067   5.279 1 S
 A067   3.039 1 P
  C03   5.569 1 S
  C03   3.239 1 P
 A068   5.269 1 S
 A068   3.079 1 P
  C02   5.529 1 S
  C02   3.169 1 P
  AX4   5.559 1 S
  AX4   3.119 1 P
 A175   5.559 1 S
 A175   3.159 1 P
 A172   5.609 1 S
 A172   3.189 1 P
 A174   5.579 1 S
 A174   3.169 1 P
 A173   5.569 1 S
  AX3   5.569 1 S
  AX3   3.119 1 P
 A076   3.109 1 P
 A076   5.409 1 S
 A171   3.189 1 P
 A171   5.649 1 S
 A075   5.399 1 S
 A074   5.409 1 S
 A074   3.149 1 P
 A077   3.109 1 P
 A077   5.369 1 S
 A078   3.109 1 P
 A078   5.329 1 S
 A079   2.919 1 P
 A170   3.219 1 P
 A170   5.669 1 S
 A080   3.099 1 P
 A080   5.339 1 S
  AX1   5.609 1 S
  AX1   3.199 1 P
 A081   3.529 1 P
 A081   5.289 1 S
 A082   3.119 1 P
 A082   5.409 1 S
 A169   3.199 1 P
 A083   5.409 1 S
 A083   3.159 1 P
 A084   3.089 1 P
 A168   5.519 1 S
 A168   3.209 1 P
 A085   5.279 1 S
 A085   3.109 1 P
 A167   5.689 1 S
 A167   3.209 1 P
 A086   5.359 1 S
 A086   3.139 1 P
 A087   3.159 1 P
 A166   5.729 1 S
 A166   3.239 1 P
 A165   5.609 1 S
 A165   3.239 1 P
 A164   5.669 1 S
 A164   3.259 1 P
 A092   5.349 1 S
 A092   3.159 1 P
 A163   5.729 1 S
 A163   3.239 1 P
 A162   5.709 1 S
 A162   3.259 1 P
 A152   5.809 1 S
 A152   3.239 1 P
 A161   5.699 1 S
 A161   3.239 1 P
 A151   3.219 1 P
 A093   5.449 1 S
 A149   3.249 1 P
 A149   5.919 1 S
 A159   5.769 1 S
 A159   3.269 1 P
 A153   5.699 1 S
 A153   3.219 1 P
 A160   5.829 1 S
 A160   3.279 1 P
 A154   5.699 1 S
 A154   3.229 1 P
 A155   5.609 1 S
 A155   3.229 1 P
 A156   5.729 1 S
 A156   3.239 1 P
 A157   5.749 1 S
 A158   5.729 1 S
 A158   3.259 1 P
 A094   5.469 1 S
 A094   3.219 1 P
 A148   5.729 1 S
 A148   3.269 1 P
 A136   5.669 1 S
 A136   3.239 1 P
 A147   6.009 1 S
 A147   3.259 1 P
 A142   5.579 1 S
 A142   3.229 1 P
 A135   5.529 1 S
 A135   3.259 1 P
 A144   5.869 1 S
 A144   3.259 1 P
 A134   5.609 1 S
 A134   3.259 1 P
 A143   5.769 1 S
 A143   3.239 1 P
 A095   5.509 1 S
 A095   3.259 1 P
 A146   5.759 1 S
 A146   3.259 1 P
 A141   5.729 1 S
 A141   3.279 1 P
 A140   5.559 1 S
 A140   3.249 1 P
 A139   5.609 1 S
 A139   3.229 1 P
 A133   5.809 1 S
 A133   3.249 1 P
 A145   5.689 1 S
 A145   3.259 1 P
 A096   5.529 1 S
 A096   3.249 1 P
 A097   5.499 1 S
 A097   3.269 1 P
 A132   3.219 1 P
 A098   3.269 1 P
 A098   5.519 1 S
 A099   3.239 1 P
 A099   5.509 1 S
 A100   5.569 1 S
 A101   3.209 1 P
 A101   5.569 1 S
 A102   5.729 1 S
 A111   3.219 1 P
 A111   5.559 1 S
 A110   3.219 1 P
 A110   5.699 1 S
  AX5   5.409 1 S
  AX5   3.189 1 P
 A109   3.219 1 P
 A109   5.649 1 S
  AX6   5.649 1 S
  AX6   3.199 1 P
 A107   3.239 1 P
 A106   5.519 1 S
 A106   3.239 1 P
 2D18   5.669 1 S
# 2023 04 12 01 15 21.313 85.7145  27.6312  12.663  6.15 0 0 0      3
 2D20   2.587 1 P
 2D20   4.687 1 S
 A157   3.757 1 P
 A157   6.427 1 S
 A147   3.637 1 P
 A147   6.367 1 S
 A161   3.787 1 P
 A161   6.527 1 S
 A159   3.767 1 P
 A162   3.817 1 P
 A155   3.707 1 P
 A155   6.387 1 S
 A163   3.817 1 P
 A163   6.587 1 S
 A153   3.687 1 P
 A108   3.157 1 P
 A152   6.367 1 S
 A152   3.697 1 P
 A165   3.877 1 P
 A165   6.667 1 S
 A150   6.287 1 S
 A167   3.877 1 P
 A167   6.777 1 S
 A168   3.917 1 P
 A168   6.697 1 S
 A101   5.527 1 S
 A101   3.117 1 P
 A169   3.937 1 P
 A169   6.727 1 S
 A099   3.127 1 P
 A098   3.117 1 P
 A098   5.497 1 S
 A170   3.957 1 P
 A170   6.807 1 S
  AX1   3.947 1 P
  AX1   6.797 1 S
 A096   3.127 1 P
  AX3   3.917 1 P
  AX3   6.727 1 S
  AX4   3.937 1 P
  AX4   6.757 1 S
  C06   6.807 1 S
  C07   4.027 1 P
  C07   6.837 1 S
  C43   3.997 1 P
  C43   7.037 1 S
  C44   3.957 1 P
  C44   6.907 1 S
 A080   3.117 1 P
 A080   5.577 1 S
 A078   3.127 1 P
# 2023 04 12 01 49 35.877 85.5842  27.6943  13.301  6.30 0 0 0      4
 2D20   3.013 1 P
 2D20   5.203 1 S
 2D19   2.813 1 P
 2D19   4.793 1 S
 2D18   2.393 1 P
 2D18   4.053 1 S
 2D22   3.023 1 P
 2D22   5.043 1 S
 A097   2.503 1 P
 A096   2.483 1 P
 A098   2.503 1 P
 A098   4.423 1 S
 A095   2.503 1 P
 A095   5.153 1 S
 A099   2.493 1 P
 A099   4.203 1 S
 A100   2.483 1 P
 A100   4.413 1 S
 A101   2.433 1 P
 A102   2.473 1 P
 A106   2.473 1 P
