2D01  4W  001  85 34.3599N 27 49.9742E 823
2D01  4W  002  85 34.3599N 27 49.9742E 823
2D01  4W  003  85 34.3599N 27 49.9742E 823
2D03  4W  001  85 31.6354N 27 50.3887E1698
2D03  4W  002  85 31.6354N 27 50.3887E1698
2D03  4W  003  85 31.6354N 27 50.3887E1698
2D04  4W  001  85 30.9515N 27 52.4852E1806
2D04  4W  002  85 30.9515N 27 52.4852E1806
2D04  4W  003  85 30.9515N 27 52.4852E1806
2D05  4W  001  85 32.4166N 27 54.0384E1110
2D05  4W  002  85 32.4166N 27 54.0384E1110
2D05  4W  003  85 32.4166N 27 54.0384E1110
2D06  4W  001  85 32.7574N 27 57.3937E1397
2D06  4W  002  85 32.7574N 27 57.3937E1397
2D06  4W  003  85 32.7574N 27 57.3937E1397
2D07  4W  001  85 32.5972N 27 55.9055E1802
2D07  4W  002  85 32.5972N 27 55.9055E1802
2D07  4W  003  85 32.5972N 27 55.9055E1802
2D08  4W  001  85 30.5009N 27 57.0095E2510
2D08  4W  002  85 30.5009N 27 57.0095E2510
2D08  4W  003  85 30.5009N 27 57.0095E2510
2D09  4W  001  85 33.2700N 27 58.1318E2354
2D09  4W  002  85 33.2700N 27 58.1318E2354
2D09  4W  003  85 33.2700N 27 58.1318E2354
2D10  4W  001  85 32.8397N 27 47.8388E 949
2D10  4W  002  85 32.8397N 27 47.8388E 949
2D10  4W  003  85 32.8397N 27 47.8388E 949
2D11  4W  001  85 33.6608N 27 46.5615E 926
2D11  4W  002  85 33.6608N 27 46.5615E 926
2D11  4W  003  85 33.6608N 27 46.5615E 926
2D12  4W  001  85 30.8764N 27 48.3844E1084
2D12  4W  002  85 30.8764N 27 48.3844E1084
2D12  4W  003  85 30.8764N 27 48.3844E1084
2D13  4W  001  85 27.3996N 27 48.9880E2140
2D13  4W  002  85 27.3996N 27 48.9880E2140
2D13  4W  003  85 27.3996N 27 48.9880E2140
2D14  4W  001  85 28.7497N 27 54.2908E2172
2D14  4W  002  85 28.7497N 27 54.2908E2172
2D14  4W  003  85 28.7497N 27 54.2908E2172
2D15  4W  001  85 29.2625N 27 49.4726E1294
2D15  4W  002  85 29.2625N 27 49.4726E1294
2D15  4W  003  85 29.2625N 27 49.4726E1294
2D16  4W  001  85 35.5245N 27 51.3809E 964
2D16  4W  002  85 35.5245N 27 51.3809E 964
2D16  4W  003  85 35.5245N 27 51.3809E 964
2D17  4W  001  85 36.4769N 27 49.4778E1579
2D17  4W  002  85 36.4769N 27 49.4778E1579
2D17  4W  003  85 36.4769N 27 49.4778E1579
2D18  4W  001  85 37.2671N 27 53.7827E1076
2D18  4W  002  85 37.2671N 27 53.7827E1076
