# 2023 04 27 04 34 44.902 85.7011  27.8639   0.033  7.07 0 0 0      1
  B35  -0.451 1 S
  B35  -0.451 1 S
  B35  -0.451 1 S
  B13  -0.161 1 P
  B13  -0.161 1 P
  B13  -0.161 1 P
  B03   0.339 1 P
  B03   0.369 1 S
  B03   0.339 1 P
  B03   0.369 1 S
  B03   0.339 1 P
  B03   0.369 1 S
  C69   0.419 1 P
  C69   0.469 1 S
  C69   0.419 1 P
  C69   0.469 1 S
  C69   0.419 1 P
  C69   0.469 1 S
 A114  -0.321 1 P
 A114  -0.251 1 S
 A114  -0.321 1 P
 A114  -0.251 1 S
 A114  -0.321 1 P
 A114  -0.251 1 S
 A113  -0.001 1 P
 A113  -0.001 1 P
 A113  -0.001 1 P
# 2023 04 27 07 18 36.252 85.6187  27.9400   0.500  6.96 0 0 0      2
  B19   0.270 1 P
  B19   0.280 1 S
  B19   0.270 1 P
  B19   0.280 1 S
  B19   0.270 1 P
  B19   0.280 1 S
 A109   0.200 1 P
 A109   0.440 1 S
 A109   0.200 1 P
 A109   0.440 1 S
 A109   0.200 1 P
 A109   0.440 1 S
  AX6   0.250 1 P
  AX6   0.250 1 P
  AX6   0.250 1 P
 A113   0.230 1 S
 A113   0.210 1 P
 A113   0.230 1 S
 A113   0.210 1 P
 A113   0.210 1 P
 A113   0.230 1 S
 A114   0.200 1 P
 A114   0.200 1 P
 A114   0.270 1 S
 A114   0.270 1 S
 A114   0.270 1 S
 A114   0.200 1 P
# 2023 04 27 10 48 46.392 85.4417  27.9029   1.500  6.08 0 0 0      3
 2D17   1.151 1 S
 2D17   1.151 1 S
 2D17   1.151 1 S
 2D19   0.641 1 S
 2D19   0.641 1 S
 2D19   0.641 1 S
 A114  -0.169 1 P
 A114  -0.169 1 P
 A114  -0.169 1 P
 2D22   1.301 1 S
 2D22   1.301 1 S
 2D22   1.301 1 S
 A132  -0.249 1 P
 A132  -0.129 1 S
 A132  -0.249 1 P
 A132  -0.129 1 S
 A132  -0.249 1 P
 A132  -0.129 1 S
 A134  -0.159 1 P
 A134   0.071 1 S
 A134  -0.159 1 P
 A134   0.071 1 S
 A134  -0.159 1 P
 A134   0.071 1 S
 A139  -0.139 1 P
 A139  -0.029 1 S
 A139  -0.139 1 P
 A139  -0.029 1 S
 A139  -0.139 1 P
 A139  -0.029 1 S
 A144  -0.039 1 P
 A144  -0.039 1 P
 A144  -0.039 1 P
 A154   0.061 1 P
 A154   0.061 1 P
 A154   0.061 1 P
 A159   0.131 1 P
 A159   0.131 1 P
 A159   0.131 1 P
 A164   0.201 1 P
 A164   0.201 1 P
 A164   0.301 1 S
 A164   0.301 1 S
 A164   0.201 1 P
 A164   0.301 1 S
 2D06   0.021 1 P
 2D06   0.021 1 P
 2D06   0.021 1 P
 2D09   0.161 1 P
 2D09   0.161 1 P
 2D09   0.161 1 P
 A169   0.301 1 P
 A169   0.301 1 P
 A169   0.301 1 P
  AX4   0.331 1 P
  AX4   0.381 1 S
  AX4   0.331 1 P
  AX4   0.381 1 S
  AX4   0.331 1 P
  AX4   0.381 1 S
 A174   0.381 1 P
 A174   0.501 1 S
 A174   0.381 1 P
 A174   0.501 1 S
 A174   0.381 1 P
 A174   0.501 1 S
 A179   0.441 1 P
 A179   0.441 1 P
 A179   0.441 1 P
  C56   0.571 1 S
  C56   0.571 1 S
  C56   0.501 1 P
  C56   0.501 1 P
  C56   0.501 1 P
  C56   0.571 1 S
  C62   0.541 1 P
  C62   0.541 1 P
  C62   0.541 1 P
  C72   0.561 1 P
  C72   0.561 1 P
  C72   0.561 1 P
# 2023 04 27 12 02 55.714 85.7029  28.1506   1.500  5.74 0 0 0      4
  C21   0.249 1 P
  C21   0.249 1 P
  C21   0.249 1 P
  C15   0.209 1 P
  C15   0.209 1 P
  C15   0.209 1 P
 A181   0.169 1 P
 A181   0.169 1 P
 A181   0.169 1 P
  C10   0.199 1 P
  C10   0.199 1 P
  C10   0.199 1 P
  C05   0.249 1 P
  C05   0.249 1 P
  C05   0.249 1 P
 A174   0.279 1 S
 A174   0.169 1 P
 A174   0.169 1 P
 A174   0.279 1 S
 A174   0.279 1 S
 A174   0.169 1 P
  AX4   0.199 1 P
  AX4   0.279 1 S
  AX4   0.279 1 S
  AX4   0.279 1 S
  AX4   0.199 1 P
  AX4   0.199 1 P
 A169   0.149 1 P
 A169   0.149 1 P
 A169   0.149 1 P
 2D06   0.369 1 P
 2D06   0.369 1 P
 2D06   0.369 1 P
 A164   0.099 1 P
 A164   0.099 1 P
 A164   0.099 1 P
 A159   0.269 1 S
 A159   0.089 1 P
 A159   0.269 1 S
 A159   0.089 1 P
 A159   0.269 1 S
 A159   0.089 1 P
 A154   0.249 1 S
 A154   0.079 1 P
 A154   0.249 1 S
 A154   0.079 1 P
 A154   0.249 1 S
 A154   0.079 1 P
 2D15   1.039 1 S
 2D15   1.039 1 S
 2D15   1.039 1 S
 A144   0.109 1 P
 A144   0.109 1 P
 A144   0.109 1 P
 A139   0.119 1 P
 A139   0.119 1 P
 A139   0.119 1 P
  B48  -0.021 1 P
  B48  -0.021 1 P
  B48  -0.021 1 P
 2D19   1.079 1 S
 2D19   1.079 1 S
 2D19   1.079 1 S
 2D22   0.259 1 S
 2D22   0.259 1 S
 2D22   0.259 1 S
# 2023 04 27 13 28 58.444 85.5425  28.0487   2.500  6.44 0 0 0      5
  C21   0.279 1 P
  C21   0.629 1 S
  C21   0.279 1 P
  C21   0.629 1 S
  C21   0.279 1 P
  C21   0.629 1 S
  C15   0.189 1 P
  C15   0.189 1 P
  C15   0.189 1 P
  C10   0.019 1 P
  C10   0.019 1 P
  C10   0.519 1 S
  C10   0.519 1 S
  C10   0.519 1 S
  C10   0.019 1 P
 A181   0.359 1 S
 A181  -0.251 1 P
 A181  -0.251 1 P
 A181   0.359 1 S
 A181   0.359 1 S
 A181  -0.251 1 P
  C05   0.939 1 S
  C05   0.939 1 S
  C05   0.939 1 S
 A174   0.209 1 P
 A174   0.469 1 S
 A174   0.209 1 P
 A174   0.469 1 S
 A174   0.209 1 P
 A174   0.469 1 S
 2D09   0.389 1 P
 2D09   0.829 1 S
 2D09   0.389 1 P
 2D09   0.829 1 S
 2D09   0.389 1 P
 2D09   0.829 1 S
  AX4   0.639 1 S
  AX4   0.639 1 S
  AX4   0.639 1 S
