2023 04 28 00 12 59.841 85.5230  27.6651   1.500  5.53   48 295.622  0.293      1
2023 04 28 07 49 25.140 85.3932  27.7809   0.500  6.82   45 350.893  0.188      2
2023 04 28 15 35 10.463 85.7350  28.0827  13.500  6.09  132 344.362  0.291      3
2023 04 28 16 07 20.509 85.6372  27.6589   1.500  6.06  237 191.423  0.303      4
2023 04 28 17 03  4.529 85.7434  28.0308   9.500  5.82   84 303.448  0.343      5
2023 04 28 19 30 27.962 85.3877  27.7504   2.500  6.48  114 342.887  0.397      6
2023 04 28 20 59 28.669 85.4997  28.0332   0.500  7.06  444 110.688  0.211      7
2023 04 28 21 00 44.604 85.4964  27.8197   0.500  5.43   69 156.348  0.190      8
2023 04 28 21 10 30.943 85.6464  27.9798  15.500  6.14  111  97.069  0.305      9
2023 04 28 21 13 18.779 85.5264  27.8643  15.500  6.28  111 314.371  0.365     10
2023 04 28 21 23 42.115 85.4677  27.7881   1.500  5.31   36 172.015  0.273     11
2023 04 28 22 05 47.924 85.7197  28.2089   2.500  6.52  174 316.009  0.337     12
