27.832904 85.5726643 4W 2D01 DPE 0.82365
27.832904 85.5726643 4W 2D01 DPZ 0.82365
27.832904 85.5726643 4W 2D01 DPN 0.82365
27.8398116 85.5272561 4W 2D03 DPE 1.69851
27.8398116 85.5272561 4W 2D03 DPN 1.69851
27.8398116 85.5272561 4W 2D03 DPZ 1.69851
27.8747526 85.5158578 4W 2D04 DPE 1.80687
27.8747526 85.5158578 4W 2D04 DPN 1.80687
27.8747526 85.5158578 4W 2D04 DPZ 1.80687
27.9006393 85.540277 4W 2D05 DPE 1.11097
27.9006393 85.540277 4W 2D05 DPN 1.11097
27.9006393 85.540277 4W 2D05 DPZ 1.11097
27.9565622 85.5459561 4W 2D06 DPE 1.39779
27.9565622 85.5459561 4W 2D06 DPN 1.39779
27.9565622 85.5459561 4W 2D06 DPZ 1.39779
27.9317589 85.5432866 4W 2D07 DPE 1.80228
27.9317589 85.5432866 4W 2D07 DPN 1.80228
27.9317589 85.5432866 4W 2D07 DPZ 1.80228
27.9501591 85.5083482 4W 2D08 DPE 2.51064
27.9501591 85.5083482 4W 2D08 DPN 2.51064
27.9501591 85.5083482 4W 2D08 DPZ 2.51064
27.9688629 85.5544999 4W 2D09 DPE 2.3545
27.9688629 85.5544999 4W 2D09 DPN 2.3545
27.9688629 85.5544999 4W 2D09 DPZ 2.3545
27.7973138 85.5473276 4W 2D10 DPE 0.94908
27.7973138 85.5473276 4W 2D10 DPN 0.94908
27.7973138 85.5473276 4W 2D10 DPZ 0.94908
27.7760252 85.5610127 4W 2D11 DPE 0.92684
27.7760252 85.5610127 4W 2D11 DPN 0.92684
27.7760252 85.5610127 4W 2D11 DPZ 0.92684
27.8064069 85.5146063 4W 2D12 DPE 1.08426
27.8064069 85.5146063 4W 2D12 DPN 1.08426
27.8064069 85.5146063 4W 2D12 DPZ 1.08426
27.8164667 85.4566594 4W 2D13 DPE 2.14077
27.8164667 85.4566594 4W 2D13 DPN 2.14077
27.8164667 85.4566594 4W 2D13 DPZ 2.14077
27.9048463 85.4791609 4W 2D14 DPE 2.1721
27.9048463 85.4791609 4W 2D14 DPN 2.1721
27.9048463 85.4791609 4W 2D14 DPZ 2.1721
27.8245429 85.4877085 4W 2D15 DPE 1.29471
27.8245429 85.4877085 4W 2D15 DPN 1.29471
27.8245429 85.4877085 4W 2D15 DPZ 1.29471
27.8563479 85.5920743 4W 2D16 DPE 0.96484
27.8563479 85.5920743 4W 2D16 DPN 0.96484
27.8563479 85.5920743 4W 2D16 DPZ 0.96484
27.8246293 85.6079476 4W 2D17 DPE 1.57979
27.8246293 85.6079476 4W 2D17 DPN 1.57979
27.8246293 85.6079476 4W 2D17 DPZ 1.57979
27.8963788 85.6211176 4W 2D18 DPE 1.07624
27.8963788 85.6211176 4W 2D18 DPN 1.07624
27.8963788 85.6211176 4W 2D18 DPZ 1.07624
27.9428641 85.6582466 4W 2D19 DPE 2.09005
27.9428641 85.6582466 4W 2D19 DPN 2.09005
27.9428641 85.6582466 4W 2D19 DPZ 2.09005
27.8765582 85.6725302 4W 2D20 DPE 2.27142
27.8765582 85.6725302 4W 2D20 DPN 2.27142
27.8765582 85.6725302 4W 2D20 DPZ 2.27142
27.7878418 85.617848 4W 2D21 DPE 1.6015
27.7878418 85.617848 4W 2D21 DPN 1.6015
27.7878418 85.617848 4W 2D21 DPZ 1.6015
27.986411 85.6618586 4W 2D22 DPE 2.00164
27.986411 85.6618586 4W 2D22 DPN 2.00164
27.986411 85.6618586 4W 2D22 DPZ 2.00164
27.8406027 85.5719711 4W A000 DPE 1.13959
27.8406027 85.5719711 4W A000 DPN 1.13959
27.8406027 85.5719711 4W A000 DPZ 1.13959
27.8434845 85.572705 4W A004 DPE 1.24393
27.8434845 85.572705 4W A004 DPN 1.24393
27.8434845 85.572705 4W A004 DPZ 1.24393
27.8479667 85.5703512 4W A009 DPE 1.36427
27.8479667 85.5703512 4W A009 DPN 1.36427
27.8479667 85.5703512 4W A009 DPZ 1.36427
27.8524474 85.567301 4W A014 DPE 1.4436
27.8524474 85.567301 4W A014 DPN 1.4436
27.8524474 85.567301 4W A014 DPZ 1.4436
27.8569438 85.5664599 4W A019 DPE 1.48582
27.8569438 85.5664599 4W A019 DPN 1.48582
27.8569438 85.5664599 4W A019 DPZ 1.48582
27.8614609 85.5671219 4W A024 DPE 1.53966
27.8614609 85.5671219 4W A024 DPN 1.53966
27.8614609 85.5671219 4W A024 DPZ 1.53966
27.8660089 85.5680854 4W A029 DPE 1.56076
27.8660089 85.5680854 4W A029 DPN 1.56076
27.8660089 85.5680854 4W A029 DPZ 1.56076
27.8703689 85.5697232 4W A034 DPE 1.57152
27.8703689 85.5697232 4W A034 DPN 1.57152
27.8703689 85.5697232 4W A034 DPZ 1.57152
27.8752143 85.5700938 4W A039 DPE 1.63788
27.8752143 85.5700938 4W A039 DPN 1.63788
27.8752143 85.5700938 4W A039 DPZ 1.63788
27.8795804 85.5692994 4W A044 DPE 1.75557
27.8795804 85.5692994 4W A044 DPN 1.75557
27.8795804 85.5692994 4W A044 DPZ 1.75557
27.884261 85.5675662 4W A049 DPE 1.8937
27.884261 85.5675662 4W A049 DPN 1.8937
27.884261 85.5675662 4W A049 DPZ 1.8937
27.8885397 85.5715893 4W A054 DPE 1.9759
27.8885397 85.5715893 4W A054 DPN 1.9759
27.8885397 85.5715893 4W A054 DPZ 1.9759
27.8930428 85.5756096 4W A059 DPE 1.95951
27.8930428 85.5756096 4W A059 DPN 1.95951
27.8930428 85.5756096 4W A059 DPZ 1.95951
27.8975798 85.578657 4W A064 DPE 2.04024
27.8975798 85.578657 4W A064 DPN 2.04024
27.8975798 85.578657 4W A064 DPZ 2.04024
27.9018787 85.5808268 4W A069 DPE 2.12025
27.9018787 85.5808268 4W A069 DPN 2.12025
27.9018787 85.5808268 4W A069 DPZ 2.12025
27.9064766 85.5838596 4W A074 DPE 2.30704
27.9064766 85.5838596 4W A074 DPN 2.30704
27.9064766 85.5838596 4W A074 DPZ 2.30704
27.9110515 85.5847892 4W A079 DPE 2.41982
27.9110515 85.5847892 4W A079 DPN 2.41982
27.9110515 85.5847892 4W A079 DPZ 2.41982
27.9157543 85.5880752 4W A084 DPE 2.46041
27.9157543 85.5880752 4W A084 DPN 2.46041
27.9157543 85.5880752 4W A084 DPZ 2.46041
27.9201567 85.592504 4W A089 DPE 2.49227
27.9201567 85.592504 4W A089 DPN 2.49227
27.9201567 85.592504 4W A089 DPZ 2.49227
27.9247973 85.5966128 4W A094 DPE 2.57133
27.9247973 85.5966128 4W A094 DPN 2.57133
27.9247973 85.5966128 4W A094 DPZ 2.57133
27.9299861 85.5987923 4W A100 DPE 2.59969
27.9299861 85.5987923 4W A100 DPN 2.59969
27.9299861 85.5987923 4W A100 DPZ 2.59969
27.9337515 85.5989283 4W A104 DPE 2.63238
27.9337515 85.5989283 4W A104 DPN 2.63238
27.9337515 85.5989283 4W A104 DPZ 2.63238
27.9383334 85.5981856 4W A109 DPE 2.60635
27.9383334 85.5981856 4W A109 DPN 2.60635
27.9383334 85.5981856 4W A109 DPZ 2.60635
27.9419437 85.5963193 4W A113 DPE 2.6324
27.9419437 85.5963193 4W A113 DPN 2.6324
27.9419437 85.5963193 4W A113 DPZ 2.6324
27.9425947 85.595637 4W A114 DPE 2.59948
27.9425947 85.595637 4W A114 DPN 2.59948
27.9425947 85.595637 4W A114 DPZ 2.59948
27.9591939 85.5903025 4W A132 DPE 2.85079
27.9591939 85.5903025 4W A132 DPN 2.85079
27.9591939 85.5903025 4W A132 DPZ 2.85079
27.9608906 85.588821 4W A134 DPE 2.91322
27.9608906 85.588821 4W A134 DPN 2.91322
27.9608906 85.588821 4W A134 DPZ 2.91322
27.9653644 85.5878036 4W A139 DPE 2.94605
27.9653644 85.5878036 4W A139 DPN 2.94605
27.9653644 85.5878036 4W A139 DPZ 2.94605
27.969866 85.5865222 4W A144 DPE 3.02445
27.969866 85.5865222 4W A144 DPN 3.02445
27.969866 85.5865222 4W A144 DPZ 3.02445
27.9744963 85.5832788 4W A149 DPE 3.18428
27.9744963 85.5832788 4W A149 DPN 3.18428
27.9744963 85.5832788 4W A149 DPZ 3.18428
27.978909 85.5824351 4W A154 DPE 3.1448
27.978909 85.5824351 4W A154 DPN 3.1448
27.978909 85.5824351 4W A154 DPZ 3.1448
27.9833937 85.5811812 4W A159 DPE 3.19549
27.9833937 85.5811812 4W A159 DPN 3.19549
27.9833937 85.5811812 4W A159 DPZ 3.19549
27.9880439 85.5784171 4W A164 DPE 3.23622
27.9880439 85.5784171 4W A164 DPN 3.23622
27.9880439 85.5784171 4W A164 DPZ 3.23622
27.9924492 85.5724964 4W A169 DPE 3.25379
27.9924492 85.5724964 4W A169 DPN 3.25379
27.9924492 85.5724964 4W A169 DPZ 3.25379
27.996886 85.567799 4W A174 DPE 3.232
27.996886 85.567799 4W A174 DPN 3.232
27.996886 85.567799 4W A174 DPZ 3.232
28.0014729 85.5670772 4W A179 DPE 3.19667
28.0014729 85.5670772 4W A179 DPN 3.19667
28.0014729 85.5670772 4W A179 DPZ 3.19667
28.0033128 85.5666192 4W A181 DPE 3.23775
28.0033128 85.5666192 4W A181 DPN 3.23775
28.0033128 85.5666192 4W A181 DPZ 3.23775
27.9919747 85.5678601 4W AX4 DPE 3.1551
27.9919747 85.5678601 4W AX4 DPN 3.1551
27.9919747 85.5678601 4W AX4 DPZ 3.1551
27.9408112 85.5980013 4W AX6 DPE 2.60107
27.9408112 85.5980013 4W AX6 DPN 2.60107
27.9408112 85.5980013 4W AX6 DPZ 2.60107
27.8659042 85.5656776 4W B03 DPE 1.53119
27.8659042 85.5656776 4W B03 DPN 1.53119
27.8659042 85.5656776 4W B03 DPZ 1.53119
27.8672736 85.5626447 4W B09 DPE 1.45828
27.8672736 85.5626447 4W B09 DPN 1.45828
27.8672736 85.5626447 4W B09 DPZ 1.45828
27.8686289 85.5606169 4W B13 DPE 1.36652
27.8686289 85.5606169 4W B13 DPN 1.36652
27.8686289 85.5606169 4W B13 DPZ 1.36652
27.8659294 85.5576124 4W B19 DPE 1.2746
27.8659294 85.5576124 4W B19 DPN 1.2746
27.8659294 85.5576124 4W B19 DPZ 1.2746
27.8658454 85.5557994 4W B23 DPE 1.21954
27.8658454 85.5557994 4W B23 DPN 1.21954
27.8658454 85.5557994 4W B23 DPZ 1.21954
27.8667588 85.55309 4W B28 DPE 1.16731
27.8667588 85.55309 4W B28 DPN 1.16731
27.8667588 85.55309 4W B28 DPZ 1.16731
27.8688743 85.5500751 4W B35 DPE 1.07613
27.8688743 85.5500751 4W B35 DPN 1.07613
27.8688743 85.5500751 4W B35 DPZ 1.07613
27.8681328 85.5470497 4W B39 DPE 1.07315
27.8681328 85.5470497 4W B39 DPN 1.07315
27.8681328 85.5470497 4W B39 DPZ 1.07315
27.8684154 85.5424897 4W B48 DPE 0.98119
27.8684154 85.5424897 4W B48 DPN 0.98119
27.8684154 85.5424897 4W B48 DPZ 0.98119
27.86825 85.5417732 4W B50 DPE 0.97788
27.86825 85.5417732 4W B50 DPN 0.97788
27.86825 85.5417732 4W B50 DPZ 0.97788
27.997998 85.5645302 4W C05 DPE 3.09021
27.997998 85.5645302 4W C05 DPN 3.09021
27.997998 85.5645302 4W C05 DPZ 3.09021
27.9973079 85.5619733 4W C10 DPE 2.91993
27.9973079 85.5619733 4W C10 DPN 2.91993
27.9973079 85.5619733 4W C10 DPZ 2.91993
