0.01	0.569	105137.37106323244
25.79	0.886	376978.06091308594
56.04	0.718	259387.39166259766
114.78	0.925	383599.81689453125
757.98	0.738	158040.56320190427
1199.58	0.582	250888.9907836914
1230.22	0.959	249101.53045654297
1324.76	0.514	157826.1413574219
1367.9	0.739	129742.92984008789
1435.59	0.641	257956.62994384766
1447.8700000000001	0.591	186384.1278076172
2017.15	0.547	1293466.9921875
2146.31	0.786	211271.4630126953
2384.04	0.835	327743.6553955078
2390.59	0.752	277528.6560058594
2396.81	0.82	232350.22430419922
3185.76	0.805	171359.2056274414
3478.85	0.943	223485.46447753906
4014.05	0.896	208575.69274902344
4054.03	0.791	154561.1549377441
4129.2300000000005	0.833	346613.17443847656
4360.96	0.846	531821.240234375
4604.14	0.806	166274.81231689453
4649.31	0.671	202620.00427246094
4663.91	0.785	220664.38751220703
4843.34	0.839	2222997.3022460933
4971.97	0.884	1901500.4150390627
5280.35	0.627	275007.94219970703
5574.64	0.568	759475.1708984376
5750.45	0.637	2337521.0815429688
5755.650000000001	0.751	1670809.9243164062
5939.56	0.557	331090.2786254882
6358.59	0.837	626113.8885498047
6443.17	0.916	249293.15032958984
6888.66	0.911	1783464.0014648438
7354.35	0.524	1771660.8520507812
8087.54	0.85	1346703.515625
8294.91	0.669	192763.0859375
8857.380000000001	0.973	3768645.41015625
9624.45	0.736	1556568.45703125
13107.94	0.959	1618887.3657226562
15682.79	0.689	363841.5069580078
16019.99	0.924	193303.33099365234
16240.19	0.786	314716.45965576166
16325.4	0.678	472586.65771484375
18203.9	0.567	380516.4031982422
19712.46	0.604	425000.4211425781
21644.010000000002	0.563	853864.7399902344
24529.99	0.739	215490.0161743164
25155.420000000002	0.697	383927.2369384766
25435.98	0.798	128097.58758544922
25629.27	0.506	172950.9994506836
25633.32	0.568	262889.83001708984
26155.4	0.593	312915.47088623047
26576.79	0.702	757575.4760742189
29792.23	0.69	564079.5928955079
29837.29	0.755	602276.4953613281
30901.34	0.854	258178.30200195312
33030.57	0.926	165550.2571105957
33034.57	0.637	239610.07843017578
35093.66	0.747	144616.08352661136
35482.76	0.517	744323.7915039062
35683.55	0.83	270002.001953125
35688.47	0.742	166730.23681640625
35695.58	0.702	408321.1212158203
36282.94	0.832	536216.0003662109
36402.6	0.576	609560.2325439453
36490.47	0.572	273139.46990966797
38742.92	0.623	967642.8283691406
41911.55	0.632	2246068.1762695312
41943.07	0.551	1684193.4814453125
44434.46	0.524	175121.06475830078
53293.14	0.944	219056.84356689453
53971.25	0.952	34222.09186553955
56888.28	0.597	69183.09555053711
58846.35	0.546	31429.361152648926
74013.8	0.553	38939.58320617676
79632.15000000001	0.759	104620.68176269531
83118.74	0.92	33503.63140106201
85281.8	0.665	89283.4945678711
86141.41	0.939	46225.34866333008
0.01	0.569	105137.37106323244
25.79	0.886	376978.06091308594
56.04	0.718	259387.39166259766
114.78	0.925	383599.81689453125
757.98	0.738	158040.56320190427
1199.58	0.582	250888.9907836914
1230.22	0.959	249101.53045654297
1324.76	0.514	157826.1413574219
1367.9	0.739	129742.92984008789
1435.59	0.641	257956.62994384766
1447.8700000000001	0.591	186384.1278076172
2017.15	0.547	1293466.9921875
2146.31	0.786	211271.4630126953
2384.04	0.835	327743.6553955078
2390.59	0.752	277528.6560058594
2396.81	0.82	232350.22430419922
3185.76	0.805	171359.2056274414
3478.85	0.943	223485.46447753906
4014.05	0.896	208575.69274902344
4054.03	0.791	154561.1549377441
4129.2300000000005	0.833	346613.17443847656
4360.96	0.846	531821.240234375
4604.14	0.806	166274.81231689453
4649.31	0.671	202620.00427246094
